op,element_type,analysis,n,sparsity,time_ns
SUM,double,"AnalysisFlag::min",1024,0.001,8802
SUM,double,"AnalysisFlag::min",1024,0.001,5469
SUM,double,"AnalysisFlag::min",1024,0.001,4985
SUM,double,"AnalysisFlag::min",1024,0.001,4948
SUM,double,"AnalysisFlag::min",1024,0.001,4907
SUM,double,"AnalysisFlag::min",1024,0.001,4909
SUM,double,"AnalysisFlag::min",1024,0.001,4967
SUM,double,"AnalysisFlag::min",1024,0.001,4880
SUM,double,"AnalysisFlag::min",1024,0.001,4882
SUM,double,"AnalysisFlag::min",1024,0.001,4840
SUM,double,"AnalysisFlag::min",2048,0.001,13963
SUM,double,"AnalysisFlag::min",2048,0.001,13069
SUM,double,"AnalysisFlag::min",2048,0.001,13033
SUM,double,"AnalysisFlag::min",2048,0.001,12955
SUM,double,"AnalysisFlag::min",2048,0.001,13831
SUM,double,"AnalysisFlag::min",2048,0.001,13180
SUM,double,"AnalysisFlag::min",2048,0.001,13083
SUM,double,"AnalysisFlag::min",2048,0.001,13079
SUM,double,"AnalysisFlag::min",2048,0.001,13063
SUM,double,"AnalysisFlag::min",2048,0.001,13123
SUM,double,"AnalysisFlag::min",4096,0.001,39198
SUM,double,"AnalysisFlag::min",4096,0.001,42494
SUM,double,"AnalysisFlag::min",4096,0.001,42449
SUM,double,"AnalysisFlag::min",4096,0.001,37860
SUM,double,"AnalysisFlag::min",4096,0.001,37750
SUM,double,"AnalysisFlag::min",4096,0.001,37764
SUM,double,"AnalysisFlag::min",4096,0.001,37889
SUM,double,"AnalysisFlag::min",4096,0.001,49189
SUM,double,"AnalysisFlag::min",4096,0.001,41651
SUM,double,"AnalysisFlag::min",4096,0.001,37919
SUM,int64_t,"AnalysisFlag::min",1024,0.001,9087
SUM,int64_t,"AnalysisFlag::min",1024,0.001,2838
SUM,int64_t,"AnalysisFlag::min",1024,0.001,2839
SUM,int64_t,"AnalysisFlag::min",1024,0.001,2830
SUM,int64_t,"AnalysisFlag::min",1024,0.001,2769
SUM,int64_t,"AnalysisFlag::min",1024,0.001,2809
SUM,int64_t,"AnalysisFlag::min",1024,0.001,2749
SUM,int64_t,"AnalysisFlag::min",1024,0.001,2798
SUM,int64_t,"AnalysisFlag::min",1024,0.001,2819
SUM,int64_t,"AnalysisFlag::min",1024,0.001,2837
SUM,int64_t,"AnalysisFlag::min",2048,0.001,9048
SUM,int64_t,"AnalysisFlag::min",2048,0.001,9016
SUM,int64_t,"AnalysisFlag::min",2048,0.001,8217
SUM,int64_t,"AnalysisFlag::min",2048,0.001,8296
SUM,int64_t,"AnalysisFlag::min",2048,0.001,8354
SUM,int64_t,"AnalysisFlag::min",2048,0.001,8348
SUM,int64_t,"AnalysisFlag::min",2048,0.001,10125
SUM,int64_t,"AnalysisFlag::min",2048,0.001,8338
SUM,int64_t,"AnalysisFlag::min",2048,0.001,8343
SUM,int64_t,"AnalysisFlag::min",2048,0.001,8370
SUM,int64_t,"AnalysisFlag::min",4096,0.001,29151
SUM,int64_t,"AnalysisFlag::min",4096,0.001,29155
SUM,int64_t,"AnalysisFlag::min",4096,0.001,29153
SUM,int64_t,"AnalysisFlag::min",4096,0.001,29160
SUM,int64_t,"AnalysisFlag::min",4096,0.001,29065
SUM,int64_t,"AnalysisFlag::min",4096,0.001,29113
SUM,int64_t,"AnalysisFlag::min",4096,0.001,29224
SUM,int64_t,"AnalysisFlag::min",4096,0.001,29168
SUM,int64_t,"AnalysisFlag::min",4096,0.001,29139
SUM,int64_t,"AnalysisFlag::min",4096,0.001,29050
