op,element_type,analysis,n,sparsity,time_ns
SUM,double,"AnalysisFlag::min",1024,0.001,12655
SUM,double,"AnalysisFlag::min",1024,0.001,7673
SUM,double,"AnalysisFlag::min",1024,0.001,10156
SUM,double,"AnalysisFlag::min",1024,0.001,9973
SUM,double,"AnalysisFlag::min",1024,0.001,9934
SUM,double,"AnalysisFlag::min",1024,0.001,10277
SUM,double,"AnalysisFlag::min",1024,0.001,10261
SUM,double,"AnalysisFlag::min",1024,0.001,14036
SUM,double,"AnalysisFlag::min",1024,0.001,9795
SUM,double,"AnalysisFlag::min",1024,0.001,9818
SUM,double,"AnalysisFlag::min",2048,0.001,22947
SUM,double,"AnalysisFlag::min",2048,0.001,18291
SUM,double,"AnalysisFlag::min",2048,0.001,21978
SUM,double,"AnalysisFlag::min",2048,0.001,21725
SUM,double,"AnalysisFlag::min",2048,0.001,22129
SUM,double,"AnalysisFlag::min",2048,0.001,21473
SUM,double,"AnalysisFlag::min",2048,0.001,20871
SUM,double,"AnalysisFlag::min",2048,0.001,20883
SUM,double,"AnalysisFlag::min",2048,0.001,20820
SUM,double,"AnalysisFlag::min",2048,0.001,20771
SUM,double,"AnalysisFlag::min",4096,0.001,54575
SUM,double,"AnalysisFlag::min",4096,0.001,51662
SUM,double,"AnalysisFlag::min",4096,0.001,53439
SUM,double,"AnalysisFlag::min",4096,0.001,52517
SUM,double,"AnalysisFlag::min",4096,0.001,53384
SUM,double,"AnalysisFlag::min",4096,0.001,53862
SUM,double,"AnalysisFlag::min",4096,0.001,51845
SUM,double,"AnalysisFlag::min",4096,0.001,51301
SUM,double,"AnalysisFlag::min",4096,0.001,52543
SUM,double,"AnalysisFlag::min",4096,0.001,51758
SUM,int64_t,"AnalysisFlag::min",1024,0.001,10515
SUM,int64_t,"AnalysisFlag::min",1024,0.001,6577
SUM,int64_t,"AnalysisFlag::min",1024,0.001,8963
SUM,int64_t,"AnalysisFlag::min",1024,0.001,8963
SUM,int64_t,"AnalysisFlag::min",1024,0.001,8932
SUM,int64_t,"AnalysisFlag::min",1024,0.001,9026
SUM,int64_t,"AnalysisFlag::min",1024,0.001,8898
SUM,int64_t,"AnalysisFlag::min",1024,0.001,8333
SUM,int64_t,"AnalysisFlag::min",1024,0.001,8671
SUM,int64_t,"AnalysisFlag::min",1024,0.001,8856
SUM,int64_t,"AnalysisFlag::min",2048,0.001,21250
SUM,int64_t,"AnalysisFlag::min",2048,0.001,17486
SUM,int64_t,"AnalysisFlag::min",2048,0.001,19634
SUM,int64_t,"AnalysisFlag::min",2048,0.001,21411
SUM,int64_t,"AnalysisFlag::min",2048,0.001,20641
SUM,int64_t,"AnalysisFlag::min",2048,0.001,20259
SUM,int64_t,"AnalysisFlag::min",2048,0.001,21174
SUM,int64_t,"AnalysisFlag::min",2048,0.001,19996
SUM,int64_t,"AnalysisFlag::min",2048,0.001,19659
SUM,int64_t,"AnalysisFlag::min",2048,0.001,20595
SUM,int64_t,"AnalysisFlag::min",4096,0.001,53171
SUM,int64_t,"AnalysisFlag::min",4096,0.001,51532
SUM,int64_t,"AnalysisFlag::min",4096,0.001,49890
SUM,int64_t,"AnalysisFlag::min",4096,0.001,49733
SUM,int64_t,"AnalysisFlag::min",4096,0.001,49710
SUM,int64_t,"AnalysisFlag::min",4096,0.001,50501
SUM,int64_t,"AnalysisFlag::min",4096,0.001,51675
SUM,int64_t,"AnalysisFlag::min",4096,0.001,51753
SUM,int64_t,"AnalysisFlag::min",4096,0.001,52130
SUM,int64_t,"AnalysisFlag::min",4096,0.001,51168
SUM,double,"AnalysisFlag::min",1024,0.01,15868
SUM,double,"AnalysisFlag::min",1024,0.01,15088
SUM,double,"AnalysisFlag::min",1024,0.01,15932
SUM,double,"AnalysisFlag::min",1024,0.01,15933
SUM,double,"AnalysisFlag::min",1024,0.01,15393
SUM,double,"AnalysisFlag::min",1024,0.01,15672
SUM,double,"AnalysisFlag::min",1024,0.01,16133
SUM,double,"AnalysisFlag::min",1024,0.01,15774
SUM,double,"AnalysisFlag::min",1024,0.01,15905
SUM,double,"AnalysisFlag::min",1024,0.01,15586
SUM,double,"AnalysisFlag::min",2048,0.01,36706
SUM,double,"AnalysisFlag::min",2048,0.01,35630
SUM,double,"AnalysisFlag::min",2048,0.01,38385
SUM,double,"AnalysisFlag::min",2048,0.01,35530
SUM,double,"AnalysisFlag::min",2048,0.01,36185
SUM,double,"AnalysisFlag::min",2048,0.01,35585
SUM,double,"AnalysisFlag::min",2048,0.01,35663
SUM,double,"AnalysisFlag::min",2048,0.01,35612
SUM,double,"AnalysisFlag::min",2048,0.01,35723
SUM,double,"AnalysisFlag::min",2048,0.01,35691
SUM,double,"AnalysisFlag::min",4096,0.01,89081
SUM,double,"AnalysisFlag::min",4096,0.01,88851
SUM,double,"AnalysisFlag::min",4096,0.01,90783
SUM,double,"AnalysisFlag::min",4096,0.01,86764
SUM,double,"AnalysisFlag::min",4096,0.01,85804
SUM,double,"AnalysisFlag::min",4096,0.01,89919
SUM,double,"AnalysisFlag::min",4096,0.01,85434
SUM,double,"AnalysisFlag::min",4096,0.01,87002
SUM,double,"AnalysisFlag::min",4096,0.01,86510
SUM,double,"AnalysisFlag::min",4096,0.01,86443
SUM,int64_t,"AnalysisFlag::min",1024,0.01,15851
SUM,int64_t,"AnalysisFlag::min",1024,0.01,14384
SUM,int64_t,"AnalysisFlag::min",1024,0.01,15691
SUM,int64_t,"AnalysisFlag::min",1024,0.01,15727
SUM,int64_t,"AnalysisFlag::min",1024,0.01,15635
SUM,int64_t,"AnalysisFlag::min",1024,0.01,15709
SUM,int64_t,"AnalysisFlag::min",1024,0.01,16037
SUM,int64_t,"AnalysisFlag::min",1024,0.01,15149
SUM,int64_t,"AnalysisFlag::min",1024,0.01,15117
SUM,int64_t,"AnalysisFlag::min",1024,0.01,15656
SUM,int64_t,"AnalysisFlag::min",2048,0.01,35517
SUM,int64_t,"AnalysisFlag::min",2048,0.01,34526
SUM,int64_t,"AnalysisFlag::min",2048,0.01,34719
SUM,int64_t,"AnalysisFlag::min",2048,0.01,35198
SUM,int64_t,"AnalysisFlag::min",2048,0.01,35429
SUM,int64_t,"AnalysisFlag::min",2048,0.01,34941
SUM,int64_t,"AnalysisFlag::min",2048,0.01,35436
SUM,int64_t,"AnalysisFlag::min",2048,0.01,34999
SUM,int64_t,"AnalysisFlag::min",2048,0.01,35276
SUM,int64_t,"AnalysisFlag::min",2048,0.01,35259
SUM,int64_t,"AnalysisFlag::min",4096,0.01,85042
SUM,int64_t,"AnalysisFlag::min",4096,0.01,84531
SUM,int64_t,"AnalysisFlag::min",4096,0.01,84127
SUM,int64_t,"AnalysisFlag::min",4096,0.01,83866
SUM,int64_t,"AnalysisFlag::min",4096,0.01,84935
SUM,int64_t,"AnalysisFlag::min",4096,0.01,85239
SUM,int64_t,"AnalysisFlag::min",4096,0.01,86538
SUM,int64_t,"AnalysisFlag::min",4096,0.01,85441
SUM,int64_t,"AnalysisFlag::min",4096,0.01,85489
SUM,int64_t,"AnalysisFlag::min",4096,0.01,85581
SUM,double,"AnalysisFlag::min",1024,0.05,25373
SUM,double,"AnalysisFlag::min",1024,0.05,24985
SUM,double,"AnalysisFlag::min",1024,0.05,25081
SUM,double,"AnalysisFlag::min",1024,0.05,25719
SUM,double,"AnalysisFlag::min",1024,0.05,25700
SUM,double,"AnalysisFlag::min",1024,0.05,25228
SUM,double,"AnalysisFlag::min",1024,0.05,25165
SUM,double,"AnalysisFlag::min",1024,0.05,24967
SUM,double,"AnalysisFlag::min",1024,0.05,25028
SUM,double,"AnalysisFlag::min",1024,0.05,25756
SUM,double,"AnalysisFlag::min",2048,0.05,62521
SUM,double,"AnalysisFlag::min",2048,0.05,60040
SUM,double,"AnalysisFlag::min",2048,0.05,60150
SUM,double,"AnalysisFlag::min",2048,0.05,60330
SUM,double,"AnalysisFlag::min",2048,0.05,60310
SUM,double,"AnalysisFlag::min",2048,0.05,60312
SUM,double,"AnalysisFlag::min",2048,0.05,61820
SUM,double,"AnalysisFlag::min",2048,0.05,60763
SUM,double,"AnalysisFlag::min",2048,0.05,59568
SUM,double,"AnalysisFlag::min",2048,0.05,60448
SUM,double,"AnalysisFlag::min",4096,0.05,335500
SUM,double,"AnalysisFlag::min",4096,0.05,212540
SUM,double,"AnalysisFlag::min",4096,0.05,191613
SUM,double,"AnalysisFlag::min",4096,0.05,199058
SUM,double,"AnalysisFlag::min",4096,0.05,191115
SUM,double,"AnalysisFlag::min",4096,0.05,191241
SUM,double,"AnalysisFlag::min",4096,0.05,190636
SUM,double,"AnalysisFlag::min",4096,0.05,192709
SUM,double,"AnalysisFlag::min",4096,0.05,199961
SUM,double,"AnalysisFlag::min",4096,0.05,189428
SUM,int64_t,"AnalysisFlag::min",1024,0.05,25345
SUM,int64_t,"AnalysisFlag::min",1024,0.05,24826
SUM,int64_t,"AnalysisFlag::min",1024,0.05,24091
SUM,int64_t,"AnalysisFlag::min",1024,0.05,25045
SUM,int64_t,"AnalysisFlag::min",1024,0.05,24335
SUM,int64_t,"AnalysisFlag::min",1024,0.05,24691
SUM,int64_t,"AnalysisFlag::min",1024,0.05,24607
SUM,int64_t,"AnalysisFlag::min",1024,0.05,24564
SUM,int64_t,"AnalysisFlag::min",1024,0.05,25714
SUM,int64_t,"AnalysisFlag::min",1024,0.05,24136
SUM,int64_t,"AnalysisFlag::min",2048,0.05,62854
SUM,int64_t,"AnalysisFlag::min",2048,0.05,59778
SUM,int64_t,"AnalysisFlag::min",2048,0.05,59805
SUM,int64_t,"AnalysisFlag::min",2048,0.05,59100
SUM,int64_t,"AnalysisFlag::min",2048,0.05,62084
SUM,int64_t,"AnalysisFlag::min",2048,0.05,62349
SUM,int64_t,"AnalysisFlag::min",2048,0.05,59643
SUM,int64_t,"AnalysisFlag::min",2048,0.05,61958
SUM,int64_t,"AnalysisFlag::min",2048,0.05,63051
SUM,int64_t,"AnalysisFlag::min",2048,0.05,59680
SUM,int64_t,"AnalysisFlag::min",4096,0.05,210152
SUM,int64_t,"AnalysisFlag::min",4096,0.05,201328
SUM,int64_t,"AnalysisFlag::min",4096,0.05,196426
SUM,int64_t,"AnalysisFlag::min",4096,0.05,188555
SUM,int64_t,"AnalysisFlag::min",4096,0.05,196071
SUM,int64_t,"AnalysisFlag::min",4096,0.05,198256
SUM,int64_t,"AnalysisFlag::min",4096,0.05,195840
SUM,int64_t,"AnalysisFlag::min",4096,0.05,189295
SUM,int64_t,"AnalysisFlag::min",4096,0.05,193056
SUM,int64_t,"AnalysisFlag::min",4096,0.05,198604
SUM,double,"AnalysisFlag::min",1024,0.1,33115
SUM,double,"AnalysisFlag::min",1024,0.1,31752
SUM,double,"AnalysisFlag::min",1024,0.1,31586
SUM,double,"AnalysisFlag::min",1024,0.1,31201
SUM,double,"AnalysisFlag::min",1024,0.1,30988
SUM,double,"AnalysisFlag::min",1024,0.1,31016
SUM,double,"AnalysisFlag::min",1024,0.1,31529
SUM,double,"AnalysisFlag::min",1024,0.1,31464
SUM,double,"AnalysisFlag::min",1024,0.1,31590
SUM,double,"AnalysisFlag::min",1024,0.1,32493
SUM,double,"AnalysisFlag::min",2048,0.1,98573
SUM,double,"AnalysisFlag::min",2048,0.1,93346
SUM,double,"AnalysisFlag::min",2048,0.1,97304
SUM,double,"AnalysisFlag::min",2048,0.1,94151
SUM,double,"AnalysisFlag::min",2048,0.1,94787
SUM,double,"AnalysisFlag::min",2048,0.1,93272
SUM,double,"AnalysisFlag::min",2048,0.1,94445
SUM,double,"AnalysisFlag::min",2048,0.1,94491
SUM,double,"AnalysisFlag::min",2048,0.1,93936
SUM,double,"AnalysisFlag::min",2048,0.1,92668
SUM,double,"AnalysisFlag::min",4096,0.1,575094
SUM,double,"AnalysisFlag::min",4096,0.1,612553
SUM,double,"AnalysisFlag::min",4096,0.1,580658
SUM,double,"AnalysisFlag::min",4096,0.1,567200
SUM,double,"AnalysisFlag::min",4096,0.1,570711
SUM,double,"AnalysisFlag::min",4096,0.1,602918
SUM,double,"AnalysisFlag::min",4096,0.1,610255
SUM,double,"AnalysisFlag::min",4096,0.1,578601
SUM,double,"AnalysisFlag::min",4096,0.1,573861
SUM,double,"AnalysisFlag::min",4096,0.1,575735
SUM,int64_t,"AnalysisFlag::min",1024,0.1,33526
SUM,int64_t,"AnalysisFlag::min",1024,0.1,31387
SUM,int64_t,"AnalysisFlag::min",1024,0.1,30727
SUM,int64_t,"AnalysisFlag::min",1024,0.1,32501
SUM,int64_t,"AnalysisFlag::min",1024,0.1,32555
SUM,int64_t,"AnalysisFlag::min",1024,0.1,32105
SUM,int64_t,"AnalysisFlag::min",1024,0.1,32265
SUM,int64_t,"AnalysisFlag::min",1024,0.1,32936
SUM,int64_t,"AnalysisFlag::min",1024,0.1,30766
SUM,int64_t,"AnalysisFlag::min",1024,0.1,32628
SUM,int64_t,"AnalysisFlag::min",2048,0.1,129610
SUM,int64_t,"AnalysisFlag::min",2048,0.1,97883
SUM,int64_t,"AnalysisFlag::min",2048,0.1,97671
SUM,int64_t,"AnalysisFlag::min",2048,0.1,96531
SUM,int64_t,"AnalysisFlag::min",2048,0.1,96688
SUM,int64_t,"AnalysisFlag::min",2048,0.1,93615
SUM,int64_t,"AnalysisFlag::min",2048,0.1,99008
SUM,int64_t,"AnalysisFlag::min",2048,0.1,93426
SUM,int64_t,"AnalysisFlag::min",2048,0.1,96875
SUM,int64_t,"AnalysisFlag::min",2048,0.1,96760
SUM,int64_t,"AnalysisFlag::min",4096,0.1,557925
SUM,int64_t,"AnalysisFlag::min",4096,0.1,597008
SUM,int64_t,"AnalysisFlag::min",4096,0.1,584300
SUM,int64_t,"AnalysisFlag::min",4096,0.1,576704
SUM,int64_t,"AnalysisFlag::min",4096,0.1,557971
SUM,int64_t,"AnalysisFlag::min",4096,0.1,594928
SUM,int64_t,"AnalysisFlag::min",4096,0.1,586800
SUM,int64_t,"AnalysisFlag::min",4096,0.1,564751
SUM,int64_t,"AnalysisFlag::min",4096,0.1,564545
SUM,int64_t,"AnalysisFlag::min",4096,0.1,567066
SUM,double,"AnalysisFlag::min",1024,0.2,57237
SUM,double,"AnalysisFlag::min",1024,0.2,49206
SUM,double,"AnalysisFlag::min",1024,0.2,48412
SUM,double,"AnalysisFlag::min",1024,0.2,49757
SUM,double,"AnalysisFlag::min",1024,0.2,48927
SUM,double,"AnalysisFlag::min",1024,0.2,48813
SUM,double,"AnalysisFlag::min",1024,0.2,50523
SUM,double,"AnalysisFlag::min",1024,0.2,49131
SUM,double,"AnalysisFlag::min",1024,0.2,48783
SUM,double,"AnalysisFlag::min",1024,0.2,48581
SUM,double,"AnalysisFlag::min",2048,0.2,239482
SUM,double,"AnalysisFlag::min",2048,0.2,195279
SUM,double,"AnalysisFlag::min",2048,0.2,176476
SUM,double,"AnalysisFlag::min",2048,0.2,183702
SUM,double,"AnalysisFlag::min",2048,0.2,181179
SUM,double,"AnalysisFlag::min",2048,0.2,175688
SUM,double,"AnalysisFlag::min",2048,0.2,184236
SUM,double,"AnalysisFlag::min",2048,0.2,180677
SUM,double,"AnalysisFlag::min",2048,0.2,187701
SUM,double,"AnalysisFlag::min",2048,0.2,181101
SUM,double,"AnalysisFlag::min",4096,0.2,1.35263e+06
SUM,double,"AnalysisFlag::min",4096,0.2,1.41563e+06
SUM,double,"AnalysisFlag::min",4096,0.2,1.37167e+06
SUM,double,"AnalysisFlag::min",4096,0.2,1.38351e+06
SUM,double,"AnalysisFlag::min",4096,0.2,1.36341e+06
SUM,double,"AnalysisFlag::min",4096,0.2,1.38506e+06
SUM,double,"AnalysisFlag::min",4096,0.2,1.35934e+06
SUM,double,"AnalysisFlag::min",4096,0.2,1.38904e+06
SUM,double,"AnalysisFlag::min",4096,0.2,1.38161e+06
SUM,double,"AnalysisFlag::min",4096,0.2,1.37416e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.2,62114
SUM,int64_t,"AnalysisFlag::min",1024,0.2,50690
SUM,int64_t,"AnalysisFlag::min",1024,0.2,49479
SUM,int64_t,"AnalysisFlag::min",1024,0.2,49642
SUM,int64_t,"AnalysisFlag::min",1024,0.2,48830
SUM,int64_t,"AnalysisFlag::min",1024,0.2,49547
SUM,int64_t,"AnalysisFlag::min",1024,0.2,49306
SUM,int64_t,"AnalysisFlag::min",1024,0.2,49530
SUM,int64_t,"AnalysisFlag::min",1024,0.2,49751
SUM,int64_t,"AnalysisFlag::min",1024,0.2,49786
SUM,int64_t,"AnalysisFlag::min",2048,0.2,304775
SUM,int64_t,"AnalysisFlag::min",2048,0.2,220988
SUM,int64_t,"AnalysisFlag::min",2048,0.2,182710
SUM,int64_t,"AnalysisFlag::min",2048,0.2,184998
SUM,int64_t,"AnalysisFlag::min",2048,0.2,197532
SUM,int64_t,"AnalysisFlag::min",2048,0.2,183093
SUM,int64_t,"AnalysisFlag::min",2048,0.2,188475
SUM,int64_t,"AnalysisFlag::min",2048,0.2,180184
SUM,int64_t,"AnalysisFlag::min",2048,0.2,191793
SUM,int64_t,"AnalysisFlag::min",2048,0.2,187445
SUM,int64_t,"AnalysisFlag::min",4096,0.2,1.36709e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.2,1.41495e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.2,1.37045e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.2,1.39913e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.2,1.3877e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.2,1.40921e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.2,1.44075e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.2,1.38405e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.2,1.43837e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.2,1.39181e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.61092e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.60588e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.60531e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.60702e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.61454e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.60882e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.60531e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.60476e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.61453e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.60679e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.44382e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.4414e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.45151e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.46113e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.43928e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.45068e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.44701e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.45894e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.46672e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.44945e+06
SUM,double,"AnalysisFlag::min",4096,0.25,2.56806e+07
SUM,double,"AnalysisFlag::min",4096,0.25,2.56833e+07
SUM,double,"AnalysisFlag::min",4096,0.25,2.56732e+07
SUM,double,"AnalysisFlag::min",4096,0.25,2.5674e+07
