result_repr,element_type,analysis,n,sparsity,time_ns
DenseMatrix,double,"AnalysisFlag::min",1024,0.001,11474
DenseMatrix,double,"AnalysisFlag::min",1024,0.001,7837
DenseMatrix,double,"AnalysisFlag::min",1024,0.001,11026
DenseMatrix,double,"AnalysisFlag::min",1024,0.001,12023
DenseMatrix,double,"AnalysisFlag::min",1024,0.001,18205
DenseMatrix,double,"AnalysisFlag::min",1024,0.001,7002
DenseMatrix,double,"AnalysisFlag::min",1024,0.001,6517
DenseMatrix,double,"AnalysisFlag::min",1024,0.001,5088
DenseMatrix,double,"AnalysisFlag::min",1024,0.001,7396
DenseMatrix,double,"AnalysisFlag::min",1024,0.001,4586
DenseMatrix,double,"AnalysisFlag::min",2048,0.001,13425
DenseMatrix,double,"AnalysisFlag::min",2048,0.001,14927
DenseMatrix,double,"AnalysisFlag::min",2048,0.001,14636
DenseMatrix,double,"AnalysisFlag::min",2048,0.001,16182
DenseMatrix,double,"AnalysisFlag::min",2048,0.001,21165
DenseMatrix,double,"AnalysisFlag::min",2048,0.001,10862
DenseMatrix,double,"AnalysisFlag::min",2048,0.001,15105
DenseMatrix,double,"AnalysisFlag::min",2048,0.001,11390
DenseMatrix,double,"AnalysisFlag::min",2048,0.001,12574
DenseMatrix,double,"AnalysisFlag::min",2048,0.001,11801
DenseMatrix,double,"AnalysisFlag::min",4096,0.001,29910
DenseMatrix,double,"AnalysisFlag::min",4096,0.001,30985
DenseMatrix,double,"AnalysisFlag::min",4096,0.001,29660
DenseMatrix,double,"AnalysisFlag::min",4096,0.001,28052
DenseMatrix,double,"AnalysisFlag::min",4096,0.001,30191
DenseMatrix,double,"AnalysisFlag::min",4096,0.001,27074
DenseMatrix,double,"AnalysisFlag::min",4096,0.001,28720
DenseMatrix,double,"AnalysisFlag::min",4096,0.001,27176
DenseMatrix,double,"AnalysisFlag::min",4096,0.001,23726
DenseMatrix,double,"AnalysisFlag::min",4096,0.001,21146
DenseMatrix,int64_t,"AnalysisFlag::min",1024,0.001,7411
DenseMatrix,int64_t,"AnalysisFlag::min",1024,0.001,5816
DenseMatrix,int64_t,"AnalysisFlag::min",1024,0.001,7622
DenseMatrix,int64_t,"AnalysisFlag::min",1024,0.001,8356
DenseMatrix,int64_t,"AnalysisFlag::min",1024,0.001,11440
DenseMatrix,int64_t,"AnalysisFlag::min",1024,0.001,5742
DenseMatrix,int64_t,"AnalysisFlag::min",1024,0.001,5329
DenseMatrix,int64_t,"AnalysisFlag::min",1024,0.001,4616
DenseMatrix,int64_t,"AnalysisFlag::min",1024,0.001,5371
DenseMatrix,int64_t,"AnalysisFlag::min",1024,0.001,4357
DenseMatrix,int64_t,"AnalysisFlag::min",2048,0.001,10858
DenseMatrix,int64_t,"AnalysisFlag::min",2048,0.001,11593
DenseMatrix,int64_t,"AnalysisFlag::min",2048,0.001,11583
DenseMatrix,int64_t,"AnalysisFlag::min",2048,0.001,11893
DenseMatrix,int64_t,"AnalysisFlag::min",2048,0.001,14833
