op,element_type,analysis,n,sparsity,time_ns
ADD,double,"AnalysisFlag::min",1024,0.001,12130
ADD,double,"AnalysisFlag::min",1024,0.001,20198
ADD,double,"AnalysisFlag::min",1024,0.001,19716
ADD,double,"AnalysisFlag::min",1024,0.001,19438
ADD,double,"AnalysisFlag::min",1024,0.001,19077
ADD,double,"AnalysisFlag::min",1024,0.001,19349
ADD,double,"AnalysisFlag::min",1024,0.001,19165
ADD,double,"AnalysisFlag::min",1024,0.001,19953
ADD,double,"AnalysisFlag::min",1024,0.001,18967
ADD,double,"AnalysisFlag::min",1024,0.001,18957
ADD,double,"AnalysisFlag::min",2048,0.001,27431
ADD,double,"AnalysisFlag::min",2048,0.001,54950
ADD,double,"AnalysisFlag::min",2048,0.001,53539
ADD,double,"AnalysisFlag::min",2048,0.001,53308
ADD,double,"AnalysisFlag::min",2048,0.001,52804
ADD,double,"AnalysisFlag::min",2048,0.001,52792
ADD,double,"AnalysisFlag::min",2048,0.001,50689
ADD,double,"AnalysisFlag::min",2048,0.001,51191
ADD,double,"AnalysisFlag::min",2048,0.001,51753
ADD,double,"AnalysisFlag::min",2048,0.001,50997
ADD,double,"AnalysisFlag::min",4096,0.001,74037
ADD,double,"AnalysisFlag::min",4096,0.001,170633
ADD,double,"AnalysisFlag::min",4096,0.001,169197
ADD,double,"AnalysisFlag::min",4096,0.001,166062
ADD,double,"AnalysisFlag::min",4096,0.001,166459
ADD,double,"AnalysisFlag::min",4096,0.001,166019
ADD,double,"AnalysisFlag::min",4096,0.001,166028
ADD,double,"AnalysisFlag::min",4096,0.001,167149
ADD,double,"AnalysisFlag::min",4096,0.001,164705
ADD,double,"AnalysisFlag::min",4096,0.001,163677
ADD,int64_t,"AnalysisFlag::min",1024,0.001,11218
ADD,int64_t,"AnalysisFlag::min",1024,0.001,19469
ADD,int64_t,"AnalysisFlag::min",1024,0.001,18953
ADD,int64_t,"AnalysisFlag::min",1024,0.001,18852
ADD,int64_t,"AnalysisFlag::min",1024,0.001,20396
ADD,int64_t,"AnalysisFlag::min",1024,0.001,18482
ADD,int64_t,"AnalysisFlag::min",1024,0.001,18553
ADD,int64_t,"AnalysisFlag::min",1024,0.001,18751
ADD,int64_t,"AnalysisFlag::min",1024,0.001,18709
ADD,int64_t,"AnalysisFlag::min",1024,0.001,19029
ADD,int64_t,"AnalysisFlag::min",2048,0.001,27934
ADD,int64_t,"AnalysisFlag::min",2048,0.001,56771
ADD,int64_t,"AnalysisFlag::min",2048,0.001,54849
ADD,int64_t,"AnalysisFlag::min",2048,0.001,57352
ADD,int64_t,"AnalysisFlag::min",2048,0.001,54793
ADD,int64_t,"AnalysisFlag::min",2048,0.001,55879
ADD,int64_t,"AnalysisFlag::min",2048,0.001,55507
ADD,int64_t,"AnalysisFlag::min",2048,0.001,54825
ADD,int64_t,"AnalysisFlag::min",2048,0.001,55140
ADD,int64_t,"AnalysisFlag::min",2048,0.001,55232
ADD,int64_t,"AnalysisFlag::min",4096,0.001,69930
ADD,int64_t,"AnalysisFlag::min",4096,0.001,195599
ADD,int64_t,"AnalysisFlag::min",4096,0.001,192892
ADD,int64_t,"AnalysisFlag::min",4096,0.001,192002
ADD,int64_t,"AnalysisFlag::min",4096,0.001,192343
ADD,int64_t,"AnalysisFlag::min",4096,0.001,194930
ADD,int64_t,"AnalysisFlag::min",4096,0.001,192035
ADD,int64_t,"AnalysisFlag::min",4096,0.001,192084
ADD,int64_t,"AnalysisFlag::min",4096,0.001,192597
ADD,int64_t,"AnalysisFlag::min",4096,0.001,191536
ADD,double,"AnalysisFlag::min",1024,0.01,29196
ADD,double,"AnalysisFlag::min",1024,0.01,93535
ADD,double,"AnalysisFlag::min",1024,0.01,92811
ADD,double,"AnalysisFlag::min",1024,0.01,92372
ADD,double,"AnalysisFlag::min",1024,0.01,93792
ADD,double,"AnalysisFlag::min",1024,0.01,94211
ADD,double,"AnalysisFlag::min",1024,0.01,93427
ADD,double,"AnalysisFlag::min",1024,0.01,93832
ADD,double,"AnalysisFlag::min",1024,0.01,93252
ADD,double,"AnalysisFlag::min",1024,0.01,94487
ADD,double,"AnalysisFlag::min",2048,0.01,97955
ADD,double,"AnalysisFlag::min",2048,0.01,364161
ADD,double,"AnalysisFlag::min",2048,0.01,359121
ADD,double,"AnalysisFlag::min",2048,0.01,359163
ADD,double,"AnalysisFlag::min",2048,0.01,362051
ADD,double,"AnalysisFlag::min",2048,0.01,362196
ADD,double,"AnalysisFlag::min",2048,0.01,360438
ADD,double,"AnalysisFlag::min",2048,0.01,358533
ADD,double,"AnalysisFlag::min",2048,0.01,358964
ADD,double,"AnalysisFlag::min",2048,0.01,362259
ADD,double,"AnalysisFlag::min",4096,0.01,426693
ADD,double,"AnalysisFlag::min",4096,0.01,1.44158e+06
ADD,double,"AnalysisFlag::min",4096,0.01,1.40106e+06
ADD,double,"AnalysisFlag::min",4096,0.01,1.40241e+06
ADD,double,"AnalysisFlag::min",4096,0.01,1.40378e+06
ADD,double,"AnalysisFlag::min",4096,0.01,1.4047e+06
ADD,double,"AnalysisFlag::min",4096,0.01,1.41347e+06
ADD,double,"AnalysisFlag::min",4096,0.01,1.42018e+06
ADD,double,"AnalysisFlag::min",4096,0.01,1.40484e+06
ADD,double,"AnalysisFlag::min",4096,0.01,1.45196e+06
ADD,int64_t,"AnalysisFlag::min",1024,0.01,31266
ADD,int64_t,"AnalysisFlag::min",1024,0.01,114837
ADD,int64_t,"AnalysisFlag::min",1024,0.01,115573
ADD,int64_t,"AnalysisFlag::min",1024,0.01,114765
ADD,int64_t,"AnalysisFlag::min",1024,0.01,113607
ADD,int64_t,"AnalysisFlag::min",1024,0.01,116629
ADD,int64_t,"AnalysisFlag::min",1024,0.01,113753
ADD,int64_t,"AnalysisFlag::min",1024,0.01,115989
ADD,int64_t,"AnalysisFlag::min",1024,0.01,116827
ADD,int64_t,"AnalysisFlag::min",1024,0.01,114225
ADD,int64_t,"AnalysisFlag::min",2048,0.01,97126
ADD,int64_t,"AnalysisFlag::min",2048,0.01,457745
ADD,int64_t,"AnalysisFlag::min",2048,0.01,454577
ADD,int64_t,"AnalysisFlag::min",2048,0.01,453340
ADD,int64_t,"AnalysisFlag::min",2048,0.01,451348
ADD,int64_t,"AnalysisFlag::min",2048,0.01,454565
ADD,int64_t,"AnalysisFlag::min",2048,0.01,454685
ADD,int64_t,"AnalysisFlag::min",2048,0.01,455681
ADD,int64_t,"AnalysisFlag::min",2048,0.01,453313
ADD,int64_t,"AnalysisFlag::min",2048,0.01,447078
ADD,int64_t,"AnalysisFlag::min",4096,0.01,365547
ADD,int64_t,"AnalysisFlag::min",4096,0.01,1.81228e+06
ADD,int64_t,"AnalysisFlag::min",4096,0.01,1.83467e+06
ADD,int64_t,"AnalysisFlag::min",4096,0.01,1.83216e+06
ADD,int64_t,"AnalysisFlag::min",4096,0.01,1.80851e+06
ADD,int64_t,"AnalysisFlag::min",4096,0.01,1.79149e+06
ADD,int64_t,"AnalysisFlag::min",4096,0.01,1.82032e+06
ADD,int64_t,"AnalysisFlag::min",4096,0.01,1.78228e+06
ADD,int64_t,"AnalysisFlag::min",4096,0.01,1.78719e+06
ADD,int64_t,"AnalysisFlag::min",4096,0.01,1.83218e+06
ADD,double,"AnalysisFlag::min",1024,0.05,121838
ADD,double,"AnalysisFlag::min",1024,0.05,478737
ADD,double,"AnalysisFlag::min",1024,0.05,462824
ADD,double,"AnalysisFlag::min",1024,0.05,440530
ADD,double,"AnalysisFlag::min",1024,0.05,477877
ADD,double,"AnalysisFlag::min",1024,0.05,439872
ADD,double,"AnalysisFlag::min",1024,0.05,437250
ADD,double,"AnalysisFlag::min",1024,0.05,443182
ADD,double,"AnalysisFlag::min",1024,0.05,441643
ADD,double,"AnalysisFlag::min",1024,0.05,437855
ADD,double,"AnalysisFlag::min",2048,0.05,525285
ADD,double,"AnalysisFlag::min",2048,0.05,1.73304e+06
ADD,double,"AnalysisFlag::min",2048,0.05,1.76688e+06
ADD,double,"AnalysisFlag::min",2048,0.05,1.74664e+06
ADD,double,"AnalysisFlag::min",2048,0.05,1.78431e+06
ADD,double,"AnalysisFlag::min",2048,0.05,1.76657e+06
ADD,double,"AnalysisFlag::min",2048,0.05,1.72548e+06
ADD,double,"AnalysisFlag::min",2048,0.05,1.76904e+06
ADD,double,"AnalysisFlag::min",2048,0.05,1.75921e+06
ADD,double,"AnalysisFlag::min",2048,0.05,1.77282e+06
ADD,double,"AnalysisFlag::min",4096,0.05,4.91764e+06
ADD,double,"AnalysisFlag::min",4096,0.05,1.29934e+07
ADD,double,"AnalysisFlag::min",4096,0.05,1.30195e+07
ADD,double,"AnalysisFlag::min",4096,0.05,1.29703e+07
ADD,double,"AnalysisFlag::min",4096,0.05,1.30235e+07
ADD,double,"AnalysisFlag::min",4096,0.05,1.30175e+07
ADD,double,"AnalysisFlag::min",4096,0.05,1.30372e+07
ADD,double,"AnalysisFlag::min",4096,0.05,1.30186e+07
ADD,double,"AnalysisFlag::min",4096,0.05,1.30172e+07
ADD,double,"AnalysisFlag::min",4096,0.05,1.30191e+07
ADD,int64_t,"AnalysisFlag::min",1024,0.05,248700
ADD,int64_t,"AnalysisFlag::min",1024,0.05,732662
ADD,int64_t,"AnalysisFlag::min",1024,0.05,561915
ADD,int64_t,"AnalysisFlag::min",1024,0.05,557899
ADD,int64_t,"AnalysisFlag::min",1024,0.05,560240
ADD,int64_t,"AnalysisFlag::min",1024,0.05,559024
ADD,int64_t,"AnalysisFlag::min",1024,0.05,553772
ADD,int64_t,"AnalysisFlag::min",1024,0.05,584996
ADD,int64_t,"AnalysisFlag::min",1024,0.05,559616
ADD,int64_t,"AnalysisFlag::min",1024,0.05,556226
ADD,int64_t,"AnalysisFlag::min",2048,0.05,1.10629e+06
ADD,int64_t,"AnalysisFlag::min",2048,0.05,2.94033e+06
ADD,int64_t,"AnalysisFlag::min",2048,0.05,2.24506e+06
ADD,int64_t,"AnalysisFlag::min",2048,0.05,2.26809e+06
ADD,int64_t,"AnalysisFlag::min",2048,0.05,2.22887e+06
ADD,int64_t,"AnalysisFlag::min",2048,0.05,2.23504e+06
ADD,int64_t,"AnalysisFlag::min",2048,0.05,2.24493e+06
ADD,int64_t,"AnalysisFlag::min",2048,0.05,2.27409e+06
ADD,int64_t,"AnalysisFlag::min",2048,0.05,2.24962e+06
ADD,int64_t,"AnalysisFlag::min",2048,0.05,2.22156e+06
ADD,int64_t,"AnalysisFlag::min",4096,0.05,4.4326e+06
ADD,int64_t,"AnalysisFlag::min",4096,0.05,1.50027e+07
ADD,int64_t,"AnalysisFlag::min",4096,0.05,1.50268e+07
ADD,int64_t,"AnalysisFlag::min",4096,0.05,1.50197e+07
ADD,int64_t,"AnalysisFlag::min",4096,0.05,1.49803e+07
ADD,int64_t,"AnalysisFlag::min",4096,0.05,1.50183e+07
ADD,int64_t,"AnalysisFlag::min",4096,0.05,1.49688e+07
ADD,int64_t,"AnalysisFlag::min",4096,0.05,1.50335e+07
ADD,int64_t,"AnalysisFlag::min",4096,0.05,1.50102e+07
ADD,int64_t,"AnalysisFlag::min",4096,0.05,1.49729e+07
ADD,double,"AnalysisFlag::min",1024,0.1,613947
ADD,double,"AnalysisFlag::min",1024,0.1,1.25172e+06
ADD,double,"AnalysisFlag::min",1024,0.1,891539
ADD,double,"AnalysisFlag::min",1024,0.1,904526
ADD,double,"AnalysisFlag::min",1024,0.1,914474
ADD,double,"AnalysisFlag::min",1024,0.1,915082
ADD,double,"AnalysisFlag::min",1024,0.1,869825
ADD,double,"AnalysisFlag::min",1024,0.1,863382
