op,element_type,analysis,n,sparsity,time_ns
EXP,double,"AnalysisFlag::min",1024,0.001,5.86169e+06
EXP,double,"AnalysisFlag::min",1024,0.001,5.07414e+06
EXP,double,"AnalysisFlag::min",1024,0.001,4.61072e+06
EXP,double,"AnalysisFlag::min",1024,0.001,4.50018e+06
EXP,double,"AnalysisFlag::min",1024,0.001,4.50336e+06
EXP,double,"AnalysisFlag::min",1024,0.001,4.52012e+06
EXP,double,"AnalysisFlag::min",1024,0.001,4.50912e+06
EXP,double,"AnalysisFlag::min",1024,0.001,4.51899e+06
EXP,double,"AnalysisFlag::min",1024,0.001,4.49807e+06
EXP,double,"AnalysisFlag::min",1024,0.001,4.49028e+06
EXP,double,"AnalysisFlag::min",2048,0.001,2.23888e+07
EXP,double,"AnalysisFlag::min",2048,0.001,2.11294e+07
EXP,double,"AnalysisFlag::min",2048,0.001,2.09797e+07
EXP,double,"AnalysisFlag::min",2048,0.001,2.09753e+07
EXP,double,"AnalysisFlag::min",2048,0.001,2.09189e+07
EXP,double,"AnalysisFlag::min",2048,0.001,2.09819e+07
EXP,double,"AnalysisFlag::min",2048,0.001,2.09743e+07
EXP,double,"AnalysisFlag::min",2048,0.001,2.09633e+07
EXP,double,"AnalysisFlag::min",2048,0.001,2.10564e+07
EXP,double,"AnalysisFlag::min",2048,0.001,2.1046e+07
EXP,double,"AnalysisFlag::min",4096,0.001,9.16299e+07
EXP,double,"AnalysisFlag::min",4096,0.001,8.69038e+07
EXP,double,"AnalysisFlag::min",4096,0.001,8.69988e+07
EXP,double,"AnalysisFlag::min",4096,0.001,8.69972e+07
EXP,double,"AnalysisFlag::min",4096,0.001,8.70599e+07
EXP,double,"AnalysisFlag::min",4096,0.001,8.70099e+07
EXP,double,"AnalysisFlag::min",4096,0.001,8.68704e+07
EXP,double,"AnalysisFlag::min",4096,0.001,8.69601e+07
EXP,double,"AnalysisFlag::min",4096,0.001,8.69183e+07
EXP,double,"AnalysisFlag::min",4096,0.001,8.69759e+07
EXP,int64_t,"AnalysisFlag::min",1024,0.001,5.13258e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.001,4.83379e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.001,4.50298e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.001,4.49723e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.001,4.48806e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.001,4.49485e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.001,4.50504e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.001,4.48392e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.001,4.47147e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.001,4.50994e+06
EXP,int64_t,"AnalysisFlag::min",2048,0.001,1.98183e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.001,2.02187e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.001,2.02046e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.001,2.01855e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.001,2.01751e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.001,2.02479e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.001,2.01973e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.001,2.01883e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.001,2.01935e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.001,2.01616e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.001,8.19978e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.001,8.15039e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.001,8.15598e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.001,8.14103e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.001,8.13649e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.001,8.14228e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.001,8.14026e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.001,8.14209e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.001,8.2196e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.001,8.13722e+07
EXP,double,"AnalysisFlag::min",1024,0.01,5.8785e+06
EXP,double,"AnalysisFlag::min",1024,0.01,5.33362e+06
EXP,double,"AnalysisFlag::min",1024,0.01,5.00361e+06
EXP,double,"AnalysisFlag::min",1024,0.01,4.97389e+06
EXP,double,"AnalysisFlag::min",1024,0.01,4.96409e+06
EXP,double,"AnalysisFlag::min",1024,0.01,4.98625e+06
EXP,double,"AnalysisFlag::min",1024,0.01,4.98005e+06
EXP,double,"AnalysisFlag::min",1024,0.01,4.96277e+06
EXP,double,"AnalysisFlag::min",1024,0.01,4.95798e+06
EXP,double,"AnalysisFlag::min",1024,0.01,4.95618e+06
EXP,double,"AnalysisFlag::min",2048,0.01,2.30322e+07
EXP,double,"AnalysisFlag::min",2048,0.01,2.23725e+07
EXP,double,"AnalysisFlag::min",2048,0.01,2.2343e+07
EXP,double,"AnalysisFlag::min",2048,0.01,2.24779e+07
EXP,double,"AnalysisFlag::min",2048,0.01,2.2387e+07
EXP,double,"AnalysisFlag::min",2048,0.01,2.23419e+07
EXP,double,"AnalysisFlag::min",2048,0.01,2.23429e+07
EXP,double,"AnalysisFlag::min",2048,0.01,2.23578e+07
EXP,double,"AnalysisFlag::min",2048,0.01,2.24081e+07
EXP,double,"AnalysisFlag::min",2048,0.01,2.23326e+07
EXP,double,"AnalysisFlag::min",4096,0.01,9.37571e+07
EXP,double,"AnalysisFlag::min",4096,0.01,9.01882e+07
EXP,double,"AnalysisFlag::min",4096,0.01,9.01033e+07
EXP,double,"AnalysisFlag::min",4096,0.01,9.01591e+07
EXP,double,"AnalysisFlag::min",4096,0.01,9.0138e+07
EXP,double,"AnalysisFlag::min",4096,0.01,9.09923e+07
EXP,double,"AnalysisFlag::min",4096,0.01,9.023e+07
EXP,double,"AnalysisFlag::min",4096,0.01,9.02095e+07
EXP,double,"AnalysisFlag::min",4096,0.01,9.0272e+07
EXP,double,"AnalysisFlag::min",4096,0.01,9.02693e+07
EXP,int64_t,"AnalysisFlag::min",1024,0.01,4.70698e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.01,4.99019e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.01,4.69739e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.01,4.68034e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.01,4.6978e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.01,4.68002e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.01,4.69023e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.01,4.68976e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.01,4.68393e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.01,4.7011e+06
EXP,int64_t,"AnalysisFlag::min",2048,0.01,2.06461e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.01,2.09982e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.01,2.1021e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.01,2.1022e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.01,2.10154e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.01,2.09905e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.01,2.09986e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.01,2.10148e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.01,2.09964e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.01,2.1001e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.01,8.4754e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.01,8.50943e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.01,8.45577e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.01,8.45923e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.01,8.46498e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.01,8.47054e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.01,8.45651e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.01,8.45807e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.01,8.45708e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.01,8.46056e+07
EXP,double,"AnalysisFlag::min",1024,0.05,5.53365e+06
EXP,double,"AnalysisFlag::min",1024,0.05,5.62259e+06
EXP,double,"AnalysisFlag::min",1024,0.05,5.36295e+06
EXP,double,"AnalysisFlag::min",1024,0.05,5.41196e+06
EXP,double,"AnalysisFlag::min",1024,0.05,5.42662e+06
EXP,double,"AnalysisFlag::min",1024,0.05,5.3617e+06
EXP,double,"AnalysisFlag::min",1024,0.05,5.39241e+06
EXP,double,"AnalysisFlag::min",1024,0.05,5.35794e+06
EXP,double,"AnalysisFlag::min",1024,0.05,5.33822e+06
EXP,double,"AnalysisFlag::min",1024,0.05,5.36019e+06
EXP,double,"AnalysisFlag::min",2048,0.05,2.32846e+07
EXP,double,"AnalysisFlag::min",2048,0.05,2.35203e+07
EXP,double,"AnalysisFlag::min",2048,0.05,2.35579e+07
EXP,double,"AnalysisFlag::min",2048,0.05,2.3574e+07
EXP,double,"AnalysisFlag::min",2048,0.05,2.35498e+07
EXP,double,"AnalysisFlag::min",2048,0.05,2.3582e+07
EXP,double,"AnalysisFlag::min",2048,0.05,2.35543e+07
EXP,double,"AnalysisFlag::min",2048,0.05,2.35952e+07
EXP,double,"AnalysisFlag::min",2048,0.05,2.36942e+07
EXP,double,"AnalysisFlag::min",2048,0.05,2.36618e+07
EXP,double,"AnalysisFlag::min",4096,0.05,9.6216e+07
EXP,double,"AnalysisFlag::min",4096,0.05,9.45607e+07
EXP,double,"AnalysisFlag::min",4096,0.05,9.46466e+07
EXP,double,"AnalysisFlag::min",4096,0.05,9.47246e+07
EXP,double,"AnalysisFlag::min",4096,0.05,9.4616e+07
EXP,double,"AnalysisFlag::min",4096,0.05,9.46291e+07
EXP,double,"AnalysisFlag::min",4096,0.05,9.45559e+07
EXP,double,"AnalysisFlag::min",4096,0.05,9.45902e+07
EXP,double,"AnalysisFlag::min",4096,0.05,9.4825e+07
EXP,double,"AnalysisFlag::min",4096,0.05,9.47904e+07
EXP,int64_t,"AnalysisFlag::min",1024,0.05,3.07331e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.05,6.01567e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.05,5.77768e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.05,5.73926e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.05,5.73014e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.05,5.72772e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.05,5.70539e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.05,5.71669e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.05,5.71866e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.05,5.72052e+06
EXP,int64_t,"AnalysisFlag::min",2048,0.05,2.4719e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.05,2.50548e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.05,2.50428e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.05,2.4977e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.05,2.49503e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.05,2.49398e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.05,2.4946e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.05,2.49681e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.05,2.4947e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.05,2.49611e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.05,1.00085e+08
EXP,int64_t,"AnalysisFlag::min",4096,0.05,1.01128e+08
EXP,int64_t,"AnalysisFlag::min",4096,0.05,1.00116e+08
EXP,int64_t,"AnalysisFlag::min",4096,0.05,1.00006e+08
EXP,int64_t,"AnalysisFlag::min",4096,0.05,1.00047e+08
EXP,int64_t,"AnalysisFlag::min",4096,0.05,1.00016e+08
EXP,int64_t,"AnalysisFlag::min",4096,0.05,1.00867e+08
EXP,int64_t,"AnalysisFlag::min",4096,0.05,9.11299e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.05,8.54234e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.05,8.53448e+07
EXP,double,"AnalysisFlag::min",1024,0.1,3.02033e+06
EXP,double,"AnalysisFlag::min",1024,0.1,5.36218e+06
EXP,double,"AnalysisFlag::min",1024,0.1,5.13461e+06
EXP,double,"AnalysisFlag::min",1024,0.1,5.13274e+06
EXP,double,"AnalysisFlag::min",1024,0.1,5.14903e+06
EXP,double,"AnalysisFlag::min",1024,0.1,5.10901e+06
EXP,double,"AnalysisFlag::min",1024,0.1,5.13344e+06
EXP,double,"AnalysisFlag::min",1024,0.1,5.13826e+06
EXP,double,"AnalysisFlag::min",1024,0.1,5.1269e+06
EXP,double,"AnalysisFlag::min",1024,0.1,5.11034e+06
EXP,double,"AnalysisFlag::min",2048,0.1,2.23258e+07
EXP,double,"AnalysisFlag::min",2048,0.1,2.25096e+07
EXP,double,"AnalysisFlag::min",2048,0.1,2.25379e+07
EXP,double,"AnalysisFlag::min",2048,0.1,2.38686e+07
EXP,double,"AnalysisFlag::min",2048,0.1,2.25223e+07
EXP,double,"AnalysisFlag::min",2048,0.1,2.25334e+07
EXP,double,"AnalysisFlag::min",2048,0.1,2.25249e+07
EXP,double,"AnalysisFlag::min",2048,0.1,2.25614e+07
EXP,double,"AnalysisFlag::min",2048,0.1,2.25894e+07
EXP,double,"AnalysisFlag::min",2048,0.1,2.25045e+07
EXP,double,"AnalysisFlag::min",4096,0.1,9.38536e+07
EXP,double,"AnalysisFlag::min",4096,0.1,9.02016e+07
EXP,double,"AnalysisFlag::min",4096,0.1,9.02577e+07
EXP,double,"AnalysisFlag::min",4096,0.1,9.01753e+07
EXP,double,"AnalysisFlag::min",4096,0.1,9.01589e+07
EXP,double,"AnalysisFlag::min",4096,0.1,9.03055e+07
EXP,double,"AnalysisFlag::min",4096,0.1,9.0276e+07
EXP,double,"AnalysisFlag::min",4096,0.1,9.11236e+07
EXP,double,"AnalysisFlag::min",4096,0.1,9.02743e+07
EXP,double,"AnalysisFlag::min",4096,0.1,9.03057e+07
EXP,int64_t,"AnalysisFlag::min",1024,0.1,6.27408e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.1,2.66395e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.1,2.63867e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.1,2.64423e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.1,2.6451e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.1,2.64226e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.1,2.64539e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.1,2.65e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.1,2.64591e+06
EXP,int64_t,"AnalysisFlag::min",1024,0.1,2.6543e+06
EXP,int64_t,"AnalysisFlag::min",2048,0.1,2.52576e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.1,2.51473e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.1,2.51579e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.1,2.51279e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.1,2.51612e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.1,2.51409e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.1,2.51396e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.1,2.5135e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.1,2.51813e+07
EXP,int64_t,"AnalysisFlag::min",2048,0.1,2.51054e+07
EXP,int64_t,"AnalysisFlag::min",4096,0.1,1.00755e+08
EXP,int64_t,"AnalysisFlag::min",4096,0.1,1.01294e+08
EXP,int64_t,"AnalysisFlag::min",4096,0.1,1.00646e+08
EXP,int64_t,"AnalysisFlag::min",4096,0.1,1.00634e+08
EXP,int64_t,"AnalysisFlag::min",4096,0.1,1.00592e+08
EXP,int64_t,"AnalysisFlag::min",4096,0.1,1.01818e+08
EXP,int64_t,"AnalysisFlag::min",4096,0.1,1.0063e+08
EXP,int64_t,"AnalysisFlag::min",4096,0.1,1.00739e+08
EXP,int64_t,"AnalysisFlag::min",4096,0.1,1.00805e+08
EXP,int64_t,"AnalysisFlag::min",4096,0.1,1.01707e+08
EXP,double,"AnalysisFlag::min",1024,0.2,6.92159e+06
EXP,double,"AnalysisFlag::min",1024,0.2,3.11328e+06
EXP,double,"AnalysisFlag::min",1024,0.2,3.15742e+06
EXP,double,"AnalysisFlag::min",1024,0.2,3.13466e+06
EXP,double,"AnalysisFlag::min",1024,0.2,3.15549e+06
