op,element_type,analysis,n,sparsity,mean_ns,std_ns,kernel,approach,mode,select-matrix-repr
ADD,double,min,1024,0.001,18695.0,2344.555300170068,EwBinary,fused,,
ADD,double,min,1024,0.01,87091.5,20351.920560477825,EwBinary,fused,,
ADD,double,min,1024,0.05,418160.8,105377.09762435732,EwBinary,fused,,
ADD,double,min,1024,0.1,900740.2,152557.94682808235,EwBinary,fused,,
ADD,double,min,1024,0.2,1775000.0,267797.1994293858,EwBinary,fused,,
ADD,double,min,1024,0.25,2575782.0,601448.6811727535,EwBinary,fused,,
ADD,double,min,1024,1.0,2396161.0,22039.3418181618,EwBinary,fused,,
ADD,double,min,2048,0.001,49945.4,8020.236449825597,EwBinary,fused,,
ADD,double,min,2048,0.01,334484.1,83128.61985762384,EwBinary,fused,,
ADD,double,min,2048,0.05,1634927.5,390315.39437322,EwBinary,fused,,
ADD,double,min,2048,0.1,3548107.0,570945.121473548,EwBinary,fused,,
ADD,double,min,2048,0.2,11787630.0,2407548.0953082168,EwBinary,fused,,
ADD,double,min,2048,0.25,16898030.0,12437.76060586833,EwBinary,fused,,
ADD,double,min,2048,1.0,16875960.0,12917.791348884894,EwBinary,fused,,
ADD,double,min,4096,0.001,157396.6,29358.51793186358,EwBinary,fused,,
ADD,double,min,4096,0.01,1317067.3,313339.0666064301,EwBinary,fused,,
ADD,double,min,4096,0.05,12203394.0,2560019.245310472,EwBinary,fused,,
ADD,double,min,4096,0.1,24104310.0,5036890.318098614,EwBinary,fused,,
ADD,double,min,4096,0.2,47825580.0,9406951.496372836,EwBinary,fused,,
ADD,double,min,4096,0.25,69040550.0,1278666.50265032,EwBinary,fused,,
ADD,double,min,4096,1.0,68340030.0,1116949.5522776896,EwBinary,fused,,
ADD,double,max+min,1024,0.001,25635.2,2595.0328535706653,EwBinary,fused,,
ADD,double,max+min,1024,0.01,112504.6,24627.592002106543,EwBinary,fused,,
ADD,double,max+min,1024,0.05,511960.7,121889.74008873758,EwBinary,fused,,
ADD,double,max+min,1024,0.1,930382.8,159063.8489096613,EwBinary,fused,,
ADD,double,max+min,1024,0.2,1844066.0,280220.1686848714,EwBinary,fused,,
ADD,double,max+min,1024,0.25,2602586.0,592099.8798288456,EwBinary,fused,,
ADD,double,max+min,1024,1.0,2420429.0,20894.87308195749,EwBinary,fused,,
ADD,double,max+min,2048,0.001,67442.0,7948.835386394664,EwBinary,fused,,
ADD,double,max+min,2048,0.01,423348.9,99212.33428186012,EwBinary,fused,,
ADD,double,max+min,2048,0.05,2027992.2,491644.4473528044,EwBinary,fused,,
ADD,double,max+min,2048,0.1,3664311.0,588434.4081156747,EwBinary,fused,,
ADD,double,max+min,2048,0.2,12115201.0,2501720.750916368,EwBinary,fused,,
ADD,double,max+min,2048,0.25,16996440.0,13141.723208502037,EwBinary,fused,,
ADD,double,max+min,2048,1.0,16975050.0,11240.032621541926,EwBinary,fused,,
ADD,double,max+min,4096,0.001,206213.0,34696.648663011314,EwBinary,fused,,
ADD,double,max+min,4096,0.01,1645021.3,390871.34696613695,EwBinary,fused,,
ADD,double,max+min,4096,0.05,13597910.0,2896158.2294289256,EwBinary,fused,,
ADD,double,max+min,4096,0.1,25042010.0,4972559.218897694,EwBinary,fused,,
ADD,double,max+min,4096,0.2,49085430.0,9591364.37682356,EwBinary,fused,,
ADD,double,max+min,4096,0.25,69407020.0,1134398.8156238925,EwBinary,fused,,
ADD,double,max+min,4096,1.0,68542420.0,1190681.019696992,EwBinary,fused,,
ADD,double,max+mean+min+numDistinctApprox+sparsity+symmetry,1024,0.001,269872.4,23030.21409269909,EwBinary,fused,,
ADD,double,max+mean+min+numDistinctApprox+sparsity+symmetry,1024,0.01,698600.8,74447.47503784875,EwBinary,fused,,
ADD,double,max+mean+min+numDistinctApprox+sparsity+symmetry,1024,0.05,1817626.2,300381.35776960454,EwBinary,fused,,
ADD,double,max+mean+min+numDistinctApprox+sparsity+symmetry,1024,0.1,3325058.0,293549.475171279,EwBinary,fused,,
ADD,double,max+mean+min+numDistinctApprox+sparsity+symmetry,1024,0.2,5733221.0,155760.24956109098,EwBinary,fused,,
ADD,double,max+mean+min+numDistinctApprox+sparsity+symmetry,1024,0.25,9820153.0,4679741.133182594,EwBinary,fused,,
ADD,double,max+mean+min+numDistinctApprox+sparsity+symmetry,1024,1.0,7879226.0,53771.14347966858,EwBinary,fused,,
ADD,double,max+mean+min+numDistinctApprox+sparsity+symmetry,2048,0.001,563185.2,37539.26612021664,EwBinary,fused,,
ADD,double,max+mean+min+numDistinctApprox+sparsity+symmetry,2048,0.01,1645212.2,239827.06056091524,EwBinary,fused,,
ADD,double,max+mean+min+numDistinctApprox+sparsity+symmetry,2048,0.05,5610283.0,1116470.9915328943,EwBinary,fused,,
ADD,double,max+mean+min+numDistinctApprox+sparsity+symmetry,2048,0.1,10615714.0,1706401.0029441756,EwBinary,fused,,
ADD,double,max+mean+min+numDistinctApprox+sparsity+symmetry,2048,0.2,24932130.0,4938178.980611735,EwBinary,fused,,
ADD,double,max+mean+min+numDistinctApprox+sparsity+symmetry,2048,0.25,37705710.0,127433.62934833516,EwBinary,fused,,
ADD,double,max+mean+min+numDistinctApprox+sparsity+symmetry,2048,1.0,37651990.0,17488.56451767549,EwBinary,fused,,
ADD,double,max+mean+min+numDistinctApprox+sparsity+symmetry,4096,0.001,1146306.7,98715.7922185931,EwBinary,fused,,
ADD,double,max+mean+min+numDistinctApprox+sparsity+symmetry,4096,0.01,4848719.0,880725.7782136276,EwBinary,fused,,
ADD,double,max+mean+min+numDistinctApprox+sparsity+symmetry,4096,0.05,20679770.0,3415825.844522977,EwBinary,fused,,
ADD,double,max+mean+min+numDistinctApprox+sparsity+symmetry,4096,0.1,39892300.0,6853461.180714133,EwBinary,fused,,
ADD,double,max+mean+min+numDistinctApprox+sparsity+symmetry,4096,0.2,96337070.0,19029206.51420104,EwBinary,fused,,
ADD,double,max+mean+min+numDistinctApprox+sparsity+symmetry,4096,0.25,149166200.0,1560897.1636708032,EwBinary,fused,,
ADD,double,max+mean+min+numDistinctApprox+sparsity+symmetry,4096,1.0,148135800.0,1235103.8462862603,EwBinary,fused,,
ADD,double,numDistinct,1024,0.001,151355.2,21415.374989842123,EwBinary,fused,,
ADD,double,numDistinct,1024,0.01,1728919.5,299049.5305542582,EwBinary,fused,,
ADD,double,numDistinct,1024,0.05,9308648.0,1717340.9012242672,EwBinary,fused,,
ADD,double,numDistinct,1024,0.1,20860020.0,3409700.5547245475,EwBinary,fused,,
ADD,double,numDistinct,1024,0.2,47492570.0,7811382.2656499855,EwBinary,fused,,
ADD,double,numDistinct,1024,0.25,60488990.0,8847987.379492959,EwBinary,fused,,
ADD,double,numDistinct,1024,1.0,211607900.0,3617546.2663093726,EwBinary,fused,,
ADD,double,numDistinct,2048,0.001,644502.9,120162.29728759904,EwBinary,fused,,
ADD,double,numDistinct,2048,0.01,6814974.0,1235201.3980741946,EwBinary,fused,,
ADD,double,numDistinct,2048,0.05,50183060.0,9743648.275580468,EwBinary,fused,,
ADD,double,numDistinct,2048,0.1,147394080.0,30798895.33043533,EwBinary,fused,,
ADD,double,numDistinct,2048,0.2,452627800.0,96596623.7387898,EwBinary,fused,,
ADD,double,numDistinct,2048,0.25,581378500.0,115229787.28537744,EwBinary,fused,,
ADD,double,numDistinct,2048,1.0,1398137000.0,13273219.52906176,EwBinary,fused,,
ADD,double,numDistinct,4096,0.001,2602015.0,436105.7639622653,EwBinary,fused,,
ADD,double,numDistinct,4096,0.01,34243380.0,6456385.337667234,EwBinary,fused,,
ADD,double,numDistinct,4096,0.05,486196100.0,108249885.70427632,EwBinary,fused,,
ADD,double,numDistinct,4096,0.1,1079580600.0,182906374.22596535,EwBinary,fused,,
ADD,double,numDistinct,4096,0.2,2539779000.0,460955668.7397751,EwBinary,fused,,
ADD,double,numDistinct,4096,0.25,3047730000.0,375009122.4964475,EwBinary,fused,,
ADD,double,numDistinct,4096,1.0,7351860000.0,52714919.03521129,EwBinary,fused,,
ADD,double,numDistinctApprox,1024,0.001,105501.2,8904.04131466905,EwBinary,fused,,
ADD,double,numDistinctApprox,1024,0.01,602767.5,56588.25253678246,EwBinary,fused,,
ADD,double,numDistinctApprox,1024,0.05,1685743.3,247586.89644021957,EwBinary,fused,,
ADD,double,numDistinctApprox,1024,0.1,2961666.0,374889.3131519696,EwBinary,fused,,
ADD,double,numDistinctApprox,1024,0.2,5267302.0,701026.17305395,EwBinary,fused,,
ADD,double,numDistinctApprox,1024,0.25,7548518.0,623342.2367064679,EwBinary,fused,,
ADD,double,numDistinctApprox,1024,1.0,7355888.0,40084.10374865995,EwBinary,fused,,
ADD,double,numDistinctApprox,2048,0.001,354866.4,11982.57336672256,EwBinary,fused,,
ADD,double,numDistinctApprox,2048,0.01,1438485.4,193005.2187735405,EwBinary,fused,,
ADD,double,numDistinctApprox,2048,0.05,5228575.0,937825.041113154,EwBinary,fused,,
ADD,double,numDistinctApprox,2048,0.1,10074624.0,1458119.0960290057,EwBinary,fused,,
ADD,double,numDistinctApprox,2048,0.2,23932160.0,4396294.360835169,EwBinary,fused,,
ADD,double,numDistinctApprox,2048,0.25,35230910.0,106144.31946908688,EwBinary,fused,,
ADD,double,numDistinctApprox,2048,1.0,35154400.0,49587.18472437169,EwBinary,fused,,
ADD,double,numDistinctApprox,4096,0.001,799137.4,57721.89971117258,EwBinary,fused,,
ADD,double,numDistinctApprox,4096,0.01,4358611.0,762475.1578969639,EwBinary,fused,,
ADD,double,numDistinctApprox,4096,0.05,24769490.0,4651091.021697071,EwBinary,fused,,
ADD,double,numDistinctApprox,4096,0.1,47922720.0,9083653.948323268,EwBinary,fused,,
ADD,double,numDistinctApprox,4096,0.2,93425850.0,17262321.841980327,EwBinary,fused,,
ADD,double,numDistinctApprox,4096,0.25,139403200.0,1062491.4953907975,EwBinary,fused,,
ADD,double,numDistinctApprox,4096,1.0,138564400.0,859955.5802481886,EwBinary,fused,,
ADD,double,sparsity,1024,0.001,23542.5,2088.44941151191,EwBinary,fused,,
ADD,double,sparsity,1024,0.01,105591.9,24129.606427006267,EwBinary,fused,,
ADD,double,sparsity,1024,0.05,490348.0,129628.5654870184,EwBinary,fused,,
ADD,double,sparsity,1024,0.1,1050901.7,196124.53794580515,EwBinary,fused,,
ADD,double,sparsity,1024,0.2,2058986.0,357585.2715771287,EwBinary,fused,,
ADD,double,sparsity,1024,0.25,1528611.0,595795.6763009353,EwBinary,fused,,
ADD,double,sparsity,1024,1.0,1353859.0,20882.957139468715,EwBinary,fused,,
ADD,double,sparsity,2048,0.001,65371.6,8023.665042305237,EwBinary,fused,,
ADD,double,sparsity,2048,0.01,406358.5,104280.374214316,EwBinary,fused,,
ADD,double,sparsity,2048,0.05,1936781.7,501024.527847146,EwBinary,fused,,
ADD,double,sparsity,2048,0.1,4115288.0,745062.2817336965,EwBinary,fused,,
ADD,double,sparsity,2048,0.2,12950032.0,2879961.7481286875,EwBinary,fused,,
ADD,double,sparsity,2048,0.25,12760440.0,12815.372713182283,EwBinary,fused,,
ADD,double,sparsity,2048,1.0,12759920.0,32775.72950285692,EwBinary,fused,,
ADD,double,sparsity,4096,0.001,198517.0,34352.54157830085,EwBinary,fused,,
ADD,double,sparsity,4096,0.01,1588803.1,401751.9222390438,EwBinary,fused,,
ADD,double,sparsity,4096,0.05,13468436.0,3060994.2220831886,EwBinary,fused,,
ADD,double,sparsity,4096,0.1,26528225.0,5977787.895072241,EwBinary,fused,,
ADD,double,sparsity,4096,0.2,52411220.0,11216987.349432703,EwBinary,fused,,
ADD,double,sparsity,4096,0.25,52234450.0,1279559.3853180695,EwBinary,fused,,
ADD,double,sparsity,4096,1.0,51587020.0,709373.1893564754,EwBinary,fused,,
ADD,double,symmetry,1024,0.001,102042.8,7009.1213239131,EwBinary,fused,,
ADD,double,symmetry,1024,0.01,190072.9,27565.802301845757,EwBinary,fused,,
ADD,double,symmetry,1024,0.05,619736.6,151302.10904911772,EwBinary,fused,,
ADD,double,symmetry,1024,0.1,1229948.0,220452.59575095357,EwBinary,fused,,
ADD,double,symmetry,1024,0.2,2325736.0,407065.0830900521,EwBinary,fused,,
ADD,double,symmetry,1024,0.25,1704857.0,569269.3675044257,EwBinary,fused,,
ADD,double,symmetry,1024,1.0,1550601.0,35795.53275976707,EwBinary,fused,,
ADD,double,symmetry,2048,0.001,216830.6,4995.70998624486,EwBinary,fused,,
ADD,double,symmetry,2048,0.01,595142.6,117266.59142142742,EwBinary,fused,,
ADD,double,symmetry,2048,0.05,2313224.8,586265.8142054297,EwBinary,fused,,
ADD,double,symmetry,2048,0.1,4719419.0,876848.9830124683,EwBinary,fused,,
ADD,double,symmetry,2048,0.2,13878325.0,3161490.763798517,EwBinary,fused,,
ADD,double,symmetry,2048,0.25,13024100.0,15755.915996503909,EwBinary,fused,,
ADD,double,symmetry,2048,1.0,12982420.0,16509.57971064743,EwBinary,fused,,
ADD,double,symmetry,4096,0.001,504195.2,22585.797360288176,EwBinary,fused,,
ADD,double,symmetry,4096,0.01,2076437.4,468827.1422708184,EwBinary,fused,,
ADD,double,symmetry,4096,0.05,14721654.0,3369859.729465176,EwBinary,fused,,
ADD,double,symmetry,4096,0.1,28644090.0,6614381.211244682,EwBinary,fused,,
ADD,double,symmetry,4096,0.2,56113200.0,12516472.74266108,EwBinary,fused,,
ADD,double,symmetry,4096,0.25,52822570.0,1251605.5351693938,EwBinary,fused,,
ADD,double,symmetry,4096,1.0,52143800.0,742761.4107728899,EwBinary,fused,,
ADD,int64_t,min,1024,0.001,18241.2,2530.0482121010177,EwBinary,fused,,
ADD,int64_t,min,1024,0.01,106747.1,26545.045716668108,EwBinary,fused,,
ADD,int64_t,min,1024,0.05,547505.0,118249.1137519056,EwBinary,fused,,
ADD,int64_t,min,1024,0.1,1099161.5,221267.5479048686,EwBinary,fused,,
ADD,int64_t,min,1024,0.2,2156105.0,413186.9663764012,EwBinary,fused,,
ADD,int64_t,min,1024,0.25,929293.1,21090.312728570167,EwBinary,fused,,
ADD,int64_t,min,1024,1.0,978617.1,49519.20812158544,EwBinary,fused,,
ADD,int64_t,min,2048,0.001,52828.2,8789.317617299865,EwBinary,fused,,
ADD,int64_t,min,2048,0.01,417945.8,112760.23009593802,EwBinary,fused,,
ADD,int64_t,min,2048,0.05,2201388.0,442647.8094326861,EwBinary,fused,,
ADD,int64_t,min,2048,0.1,4381015.0,871363.4379554581,EwBinary,fused,,
ADD,int64_t,min,2048,0.2,13333224.0,3128861.87401248,EwBinary,fused,,
ADD,int64_t,min,2048,0.25,10883100.0,11624.686375697736,EwBinary,fused,,
ADD,int64_t,min,2048,1.0,10851130.0,27787.24927412236,EwBinary,fused,,
ADD,int64_t,min,4096,0.001,180594.8,38906.34057665494,EwBinary,fused,,
ADD,int64_t,min,4096,0.01,1666662.7,457569.1223916157,EwBinary,fused,,
ADD,int64_t,min,4096,0.05,13946580.0,3342949.072899556,EwBinary,fused,,
ADD,int64_t,min,4096,0.1,27686501.0,6636669.982521271,EwBinary,fused,,
ADD,int64_t,min,4096,0.2,54194970.0,12782538.292273736,EwBinary,fused,,
ADD,int64_t,min,4096,0.25,44709780.0,586302.9342129087,EwBinary,fused,,
ADD,int64_t,min,4096,1.0,44058760.0,762427.292271204,EwBinary,fused,,
ADD,int64_t,max+min,1024,0.001,24229.2,2753.767552523875,EwBinary,fused,,
ADD,int64_t,max+min,1024,0.01,131986.1,32961.86952778417,EwBinary,fused,,
ADD,int64_t,max+min,1024,0.05,555239.0,111954.7447676962,EwBinary,fused,,
ADD,int64_t,max+min,1024,0.1,1101453.7,205203.55278820105,EwBinary,fused,,
ADD,int64_t,max+min,1024,0.2,2156301.0,403901.0061182484,EwBinary,fused,,
ADD,int64_t,max+min,1024,0.25,951428.7,70004.97998007793,EwBinary,fused,,
ADD,int64_t,max+min,1024,1.0,975486.1,45699.00377822498,EwBinary,fused,,
ADD,int64_t,max+min,2048,0.001,69940.0,11023.241961117124,EwBinary,fused,,
ADD,int64_t,max+min,2048,0.01,526019.2,149200.9019222069,EwBinary,fused,,
ADD,int64_t,max+min,2048,0.05,2178322.0,427281.789762005,EwBinary,fused,,
ADD,int64_t,max+min,2048,0.1,4344521.0,839734.3388960053,EwBinary,fused,,
ADD,int64_t,max+min,2048,0.2,13395155.0,3119387.3143482306,EwBinary,fused,,
ADD,int64_t,max+min,2048,0.25,11091350.0,9913.542925379164,EwBinary,fused,,
ADD,int64_t,max+min,2048,1.0,11062480.0,23513.15471059648,EwBinary,fused,,
ADD,int64_t,max+min,4096,0.001,233152.1,47271.34125556414,EwBinary,fused,,
ADD,int64_t,max+min,4096,0.01,1759454.4,474085.79003082926,EwBinary,fused,,
ADD,int64_t,max+min,4096,0.05,13956666.0,3306150.95084635,EwBinary,fused,,
ADD,int64_t,max+min,4096,0.1,27722804.0,6583779.661574345,EwBinary,fused,,
ADD,int64_t,max+min,4096,0.2,54300760.0,12568996.800080922,EwBinary,fused,,
ADD,int64_t,max+min,4096,0.25,45347010.0,738363.4613115687,EwBinary,fused,,
ADD,int64_t,max+min,4096,1.0,44681140.0,636412.9044016073,EwBinary,fused,,
ADD,int64_t,max+mean+min+numDistinctApprox+sparsity+symmetry,1024,0.001,179692.8,13066.01450583408,EwBinary,fused,,
ADD,int64_t,max+mean+min+numDistinctApprox+sparsity+symmetry,1024,0.01,915740.4,143803.32840546107,EwBinary,fused,,
ADD,int64_t,max+mean+min+numDistinctApprox+sparsity+symmetry,1024,0.05,4421363.0,846135.1125499993,EwBinary,fused,,
ADD,int64_t,max+mean+min+numDistinctApprox+sparsity+symmetry,1024,0.1,8700899.0,1659538.612944708,EwBinary,fused,,
ADD,int64_t,max+mean+min+numDistinctApprox+sparsity+symmetry,1024,0.2,16886990.0,3499029.3747615847,EwBinary,fused,,
ADD,int64_t,max+mean+min+numDistinctApprox+sparsity+symmetry,1024,0.25,27752610.0,2951759.621141261,EwBinary,fused,,
ADD,int64_t,max+mean+min+numDistinctApprox+sparsity+symmetry,1024,1.0,40240770.0,1176386.3613720709,EwBinary,fused,,
ADD,int64_t,max+mean+min+numDistinctApprox+sparsity+symmetry,2048,0.001,514713.8,58592.07695926131,EwBinary,fused,,
ADD,int64_t,max+mean+min+numDistinctApprox+sparsity+symmetry,2048,0.01,3498417.0,608338.4794859958,EwBinary,fused,,
ADD,int64_t,max+mean+min+numDistinctApprox+sparsity+symmetry,2048,0.05,17588667.0,3086587.9109105067,EwBinary,fused,,
ADD,int64_t,max+mean+min+numDistinctApprox+sparsity+symmetry,2048,0.1,34727790.0,6320675.874980108,EwBinary,fused,,
ADD,int64_t,max+mean+min+numDistinctApprox+sparsity+symmetry,2048,0.2,71113930.0,12859384.342188047,EwBinary,fused,,
ADD,int64_t,max+mean+min+numDistinctApprox+sparsity+symmetry,2048,0.25,119411280.0,8802976.316476401,EwBinary,fused,,
ADD,int64_t,max+mean+min+numDistinctApprox+sparsity+symmetry,2048,1.0,168667600.0,4916257.320812698,EwBinary,fused,,
ADD,int64_t,max+mean+min+numDistinctApprox+sparsity+symmetry,4096,0.001,1628682.3,231330.04084018615,EwBinary,fused,,
ADD,int64_t,max+mean+min+numDistinctApprox+sparsity+symmetry,4096,0.01,14174857.0,2591544.821324618,EwBinary,fused,,
ADD,int64_t,max+mean+min+numDistinctApprox+sparsity+symmetry,4096,0.05,71151360.0,12610065.53311018,EwBinary,fused,,
ADD,int64_t,max+mean+min+numDistinctApprox+sparsity+symmetry,4096,0.1,137642870.0,23989053.31632418,EwBinary,fused,,
ADD,int64_t,max+mean+min+numDistinctApprox+sparsity+symmetry,4096,0.2,283746500.0,51496515.55688015,EwBinary,fused,,
ADD,int64_t,max+mean+min+numDistinctApprox+sparsity+symmetry,4096,0.25,470720300.0,53586080.613967896,EwBinary,fused,,
ADD,int64_t,max+mean+min+numDistinctApprox+sparsity+symmetry,4096,1.0,676010400.0,16285665.484304504,EwBinary,fused,,
ADD,int64_t,numDistinct,1024,0.001,37643.5,2434.956410743778,EwBinary,fused,,
ADD,int64_t,numDistinct,1024,0.01,161779.6,8253.917348750228,EwBinary,fused,,
ADD,int64_t,numDistinct,1024,0.05,1082755.3,176795.9813545608,EwBinary,fused,,
ADD,int64_t,numDistinct,1024,0.1,2586491.0,520454.0149491276,EwBinary,fused,,
ADD,int64_t,numDistinct,1024,0.2,5264887.0,1084267.0419540463,EwBinary,fused,,
ADD,int64_t,numDistinct,1024,0.25,6372003.0,997656.1309728808,EwBinary,fused,,
ADD,int64_t,numDistinct,1024,1.0,9952210.0,727253.0174415077,EwBinary,fused,,
ADD,int64_t,numDistinct,2048,0.001,88556.8,1224.4912594397908,EwBinary,fused,,
ADD,int64_t,numDistinct,2048,0.01,610405.0,48402.32209994338,EwBinary,fused,,
ADD,int64_t,numDistinct,2048,0.05,5280962.0,831359.9437040226,EwBinary,fused,,
ADD,int64_t,numDistinct,2048,0.1,10947113.0,1776569.8020877198,EwBinary,fused,,
ADD,int64_t,numDistinct,2048,0.2,26316910.0,5042417.114274992,EwBinary,fused,,
ADD,int64_t,numDistinct,2048,0.25,32738940.0,2695372.2782247025,EwBinary,fused,,
ADD,int64_t,numDistinct,2048,1.0,46589990.0,1514997.543415684,EwBinary,fused,,
ADD,int64_t,numDistinct,4096,0.001,276757.6,7185.389577314358,EwBinary,fused,,
ADD,int64_t,numDistinct,4096,0.01,3093587.0,470440.2020342225,EwBinary,fused,,
ADD,int64_t,numDistinct,4096,0.05,27582030.0,5482867.813481473,EwBinary,fused,,
ADD,int64_t,numDistinct,4096,0.1,54663160.0,10603749.13249502,EwBinary,fused,,
ADD,int64_t,numDistinct,4096,0.2,105666690.0,19822022.51551149,EwBinary,fused,,
ADD,int64_t,numDistinct,4096,0.25,131449700.0,10946148.303297274,EwBinary,fused,,
ADD,int64_t,numDistinct,4096,1.0,186746600.0,5618834.461977959,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,1024,0.001,67107.4,2402.949770594472,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,1024,0.01,763191.2,117398.50115624705,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,1024,0.05,4208128.0,753611.6639785005,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,1024,0.1,8317259.0,1442799.070598921,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,1024,0.2,15875955.0,2693846.7112260363,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,1024,0.25,26449940.0,1751767.8005692167,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,1024,1.0,39213500.0,934291.137113528,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,2048,0.001,253594.4,12095.948836972924,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,2048,0.01,3150303.0,551818.2204524723,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,2048,0.05,16987055.0,2939631.616607957,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,2048,0.1,33439390.0,5924348.688712072,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,2048,0.2,69647790.0,13099593.147749117,EwBinary,fused,,
