mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
vectorized,idxMin,double,,1024,0.001,0,1059916,False
naive,idxMin,double,,1024,0.001,0,1074808,False
vectorized,idxMin,double,,1024,0.001,1,1070220,False
naive,idxMin,double,,1024,0.001,1,1088633,False
vectorized,idxMin,double,,1024,0.001,2,1127221,False
naive,idxMin,double,,1024,0.001,2,1091185,False
vectorized,idxMin,double,,1024,0.001,3,1084938,False
naive,idxMin,double,,1024,0.001,3,1060395,False
vectorized,idxMin,double,,1024,0.001,4,1084103,False
naive,idxMin,double,,1024,0.001,4,1070500,False
vectorized,idxMin,double,,1024,0.001,5,1094236,False
naive,idxMin,double,,1024,0.001,5,1066901,False
vectorized,idxMin,double,,1024,0.001,6,1072712,False
naive,idxMin,double,,1024,0.001,6,1073264,False
vectorized,idxMin,double,,1024,0.001,7,1076919,False
naive,idxMin,double,,1024,0.001,7,1075381,False
vectorized,idxMin,double,,1024,0.001,8,1097241,False
naive,idxMin,double,,1024,0.001,8,1090804,False
vectorized,idxMin,double,,1024,0.001,9,1071909,False
naive,idxMin,double,,1024,0.001,9,1060256,False
vectorized,idxMin,double,,1024,0.01,0,1084574,False
naive,idxMin,double,,1024,0.01,0,1097294,False
vectorized,idxMin,double,,1024,0.01,1,1103061,False
naive,idxMin,double,,1024,0.01,1,1106602,False
vectorized,idxMin,double,,1024,0.01,2,1098820,False
naive,idxMin,double,,1024,0.01,2,1098645,False
vectorized,idxMin,double,,1024,0.01,3,1110471,False
naive,idxMin,double,,1024,0.01,3,1100373,False
vectorized,idxMin,double,,1024,0.01,4,1083267,False
naive,idxMin,double,,1024,0.01,4,1114735,False
vectorized,idxMin,double,,1024,0.01,5,1093494,False
naive,idxMin,double,,1024,0.01,5,1168058,False
vectorized,idxMin,double,,1024,0.01,6,1088896,False
naive,idxMin,double,,1024,0.01,6,1090403,False
vectorized,idxMin,double,,1024,0.01,7,1107747,False
naive,idxMin,double,,1024,0.01,7,1090482,False
vectorized,idxMin,double,,1024,0.01,8,1134831,False
naive,idxMin,double,,1024,0.01,8,1081348,False
vectorized,idxMin,double,,1024,0.01,9,1107959,False
naive,idxMin,double,,1024,0.01,9,1136198,False
vectorized,idxMin,double,,1024,0.05,0,1124843,False
naive,idxMin,double,,1024,0.05,0,1115731,False
vectorized,idxMin,double,,1024,0.05,1,1146710,False
naive,idxMin,double,,1024,0.05,1,1100550,False
vectorized,idxMin,double,,1024,0.05,2,1106469,False
naive,idxMin,double,,1024,0.05,2,1107311,False
vectorized,idxMin,double,,1024,0.05,3,1101469,False
naive,idxMin,double,,1024,0.05,3,1093331,False
vectorized,idxMin,double,,1024,0.05,4,1091388,False
naive,idxMin,double,,1024,0.05,4,1115295,False
vectorized,idxMin,double,,1024,0.05,5,1110758,False
naive,idxMin,double,,1024,0.05,5,1116120,False
vectorized,idxMin,double,,1024,0.05,6,1104228,False
naive,idxMin,double,,1024,0.05,6,1081720,False
vectorized,idxMin,double,,1024,0.05,7,1108855,False
naive,idxMin,double,,1024,0.05,7,1103724,False
vectorized,idxMin,double,,1024,0.05,8,1106107,False
naive,idxMin,double,,1024,0.05,8,1121212,False
vectorized,idxMin,double,,1024,0.05,9,1099438,False
naive,idxMin,double,,1024,0.05,9,1124534,False
vectorized,idxMin,double,,1024,0.1,0,1134004,False
naive,idxMin,double,,1024,0.1,0,1112010,False
vectorized,idxMin,double,,1024,0.1,1,1125612,False
naive,idxMin,double,,1024,0.1,1,1101774,False
vectorized,idxMin,double,,1024,0.1,2,1111636,False
naive,idxMin,double,,1024,0.1,2,1096389,False
vectorized,idxMin,double,,1024,0.1,3,1098420,False
naive,idxMin,double,,1024,0.1,3,1109063,False
vectorized,idxMin,double,,1024,0.1,4,1100425,False
naive,idxMin,double,,1024,0.1,4,1100139,False
vectorized,idxMin,double,,1024,0.1,5,1117270,False
naive,idxMin,double,,1024,0.1,5,1114385,False
vectorized,idxMin,double,,1024,0.1,6,1106123,False
naive,idxMin,double,,1024,0.1,6,1085709,False
vectorized,idxMin,double,,1024,0.1,7,1113831,False
naive,idxMin,double,,1024,0.1,7,1095884,False
vectorized,idxMin,double,,1024,0.1,8,1087226,False
naive,idxMin,double,,1024,0.1,8,1093979,False
vectorized,idxMin,double,,1024,0.1,9,1138584,False
naive,idxMin,double,,1024,0.1,9,1099564,False
vectorized,idxMin,double,,1024,0.2,0,1164556,False
naive,idxMin,double,,1024,0.2,0,1079829,False
vectorized,idxMin,double,,1024,0.2,1,1075818,False
naive,idxMin,double,,1024,0.2,1,1089074,False
vectorized,idxMin,double,,1024,0.2,2,1081829,False
naive,idxMin,double,,1024,0.2,2,1092511,False
vectorized,idxMin,double,,1024,0.2,3,1090467,False
naive,idxMin,double,,1024,0.2,3,1097145,False
vectorized,idxMin,double,,1024,0.2,4,1086789,False
naive,idxMin,double,,1024,0.2,4,1099298,False
vectorized,idxMin,double,,1024,0.2,5,1065767,False
naive,idxMin,double,,1024,0.2,5,1111435,False
vectorized,idxMin,double,,1024,0.2,6,1092942,False
naive,idxMin,double,,1024,0.2,6,1103861,False
vectorized,idxMin,double,,1024,0.2,7,1087172,False
naive,idxMin,double,,1024,0.2,7,1157113,False
vectorized,idxMin,double,,1024,0.2,8,1087886,False
naive,idxMin,double,,1024,0.2,8,1042027,False
vectorized,idxMin,double,,1024,0.2,9,1058047,False
naive,idxMin,double,,1024,0.2,9,1095578,False
vectorized,idxMin,double,,1024,0.25,0,1095015,True
naive,idxMin,double,,1024,0.25,0,1078085,True
vectorized,idxMin,double,,1024,0.25,1,1074324,True
naive,idxMin,double,,1024,0.25,1,1090965,True
vectorized,idxMin,double,,1024,0.25,2,1074169,True
naive,idxMin,double,,1024,0.25,2,1085595,True
vectorized,idxMin,double,,1024,0.25,3,1085320,True
naive,idxMin,double,,1024,0.25,3,1093615,True
vectorized,idxMin,double,,1024,0.25,4,1089785,True
naive,idxMin,double,,1024,0.25,4,1078433,True
