mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
vectorized,idxMin,double,,1024,0.001,0,1524642,False
naive,idxMin,double,,1024,0.001,0,1517490,False
vectorized,idxMin,double,,1024,0.001,1,1525177,False
naive,idxMin,double,,1024,0.001,1,1517956,False
vectorized,idxMin,double,,1024,0.001,2,1514860,False
naive,idxMin,double,,1024,0.001,2,1520740,False
vectorized,idxMin,double,,1024,0.001,3,1513417,False
naive,idxMin,double,,1024,0.001,3,1517080,False
vectorized,idxMin,double,,1024,0.001,4,1538998,False
naive,idxMin,double,,1024,0.001,4,1501335,False
vectorized,idxMin,double,,1024,0.001,5,1519642,False
naive,idxMin,double,,1024,0.001,5,1546724,False
vectorized,idxMin,double,,1024,0.001,6,1524912,False
naive,idxMin,double,,1024,0.001,6,1509857,False
vectorized,idxMin,double,,1024,0.001,7,1519272,False
naive,idxMin,double,,1024,0.001,7,1523767,False
vectorized,idxMin,double,,1024,0.001,8,1514630,False
naive,idxMin,double,,1024,0.001,8,1514772,False
vectorized,idxMin,double,,1024,0.001,9,1514666,False
naive,idxMin,double,,1024,0.001,9,1523705,False
vectorized,idxMin,double,,1024,0.01,0,1516414,False
naive,idxMin,double,,1024,0.01,0,1500131,False
vectorized,idxMin,double,,1024,0.01,1,1053031,False
naive,idxMin,double,,1024,0.01,1,1521292,False
vectorized,idxMin,double,,1024,0.01,2,1507347,False
naive,idxMin,double,,1024,0.01,2,1063470,False
vectorized,idxMin,double,,1024,0.01,3,1520491,False
naive,idxMin,double,,1024,0.01,3,1521081,False
vectorized,idxMin,double,,1024,0.01,4,1511719,False
naive,idxMin,double,,1024,0.01,4,1526962,False
vectorized,idxMin,double,,1024,0.01,5,1515967,False
naive,idxMin,double,,1024,0.01,5,1525424,False
vectorized,idxMin,double,,1024,0.01,6,1523188,False
naive,idxMin,double,,1024,0.01,6,1508592,False
vectorized,idxMin,double,,1024,0.01,7,1520216,False
naive,idxMin,double,,1024,0.01,7,1517518,False
vectorized,idxMin,double,,1024,0.01,8,1510335,False
naive,idxMin,double,,1024,0.01,8,1526625,False
vectorized,idxMin,double,,1024,0.01,9,1058979,False
naive,idxMin,double,,1024,0.01,9,1514789,False
vectorized,idxMin,double,,1024,0.05,0,1506950,False
naive,idxMin,double,,1024,0.05,0,1513263,False
vectorized,idxMin,double,,1024,0.05,1,1510465,False
naive,idxMin,double,,1024,0.05,1,1055402,False
vectorized,idxMin,double,,1024,0.05,2,1513971,False
naive,idxMin,double,,1024,0.05,2,1495030,False
vectorized,idxMin,double,,1024,0.05,3,1511735,False
naive,idxMin,double,,1024,0.05,3,1507129,False
vectorized,idxMin,double,,1024,0.05,4,1512599,False
naive,idxMin,double,,1024,0.05,4,1512219,False
vectorized,idxMin,double,,1024,0.05,5,1503113,False
naive,idxMin,double,,1024,0.05,5,1513983,False
vectorized,idxMin,double,,1024,0.05,6,1528394,False
naive,idxMin,double,,1024,0.05,6,1500858,False
vectorized,idxMin,double,,1024,0.05,7,1054849,False
naive,idxMin,double,,1024,0.05,7,1507244,False
vectorized,idxMin,double,,1024,0.05,8,1516321,False
naive,idxMin,double,,1024,0.05,8,1523012,False
vectorized,idxMin,double,,1024,0.05,9,1656983,False
naive,idxMin,double,,1024,0.05,9,1518549,False
vectorized,idxMin,double,,1024,0.1,0,1517000,False
naive,idxMin,double,,1024,0.1,0,1502960,False
vectorized,idxMin,double,,1024,0.1,1,1061868,False
naive,idxMin,double,,1024,0.1,1,1514927,False
vectorized,idxMin,double,,1024,0.1,2,1511121,False
naive,idxMin,double,,1024,0.1,2,1516841,False
vectorized,idxMin,double,,1024,0.1,3,1517786,False
naive,idxMin,double,,1024,0.1,3,1506902,False
vectorized,idxMin,double,,1024,0.1,4,1518185,False
naive,idxMin,double,,1024,0.1,4,1499617,False
vectorized,idxMin,double,,1024,0.1,5,1524380,False
naive,idxMin,double,,1024,0.1,5,1497717,False
vectorized,idxMin,double,,1024,0.1,6,1511971,False
naive,idxMin,double,,1024,0.1,6,1510130,False
vectorized,idxMin,double,,1024,0.1,7,1511401,False
naive,idxMin,double,,1024,0.1,7,1518789,False
vectorized,idxMin,double,,1024,0.1,8,1512739,False
naive,idxMin,double,,1024,0.1,8,1501575,False
vectorized,idxMin,double,,1024,0.1,9,1531281,False
naive,idxMin,double,,1024,0.1,9,1500265,False
vectorized,idxMin,double,,1024,0.2,0,1512945,False
naive,idxMin,double,,1024,0.2,0,1498386,False
vectorized,idxMin,double,,1024,0.2,1,1525894,False
naive,idxMin,double,,1024,0.2,1,1514706,False
vectorized,idxMin,double,,1024,0.2,2,1507115,False
naive,idxMin,double,,1024,0.2,2,1518713,False
vectorized,idxMin,double,,1024,0.2,3,1512980,False
naive,idxMin,double,,1024,0.2,3,1509173,False
vectorized,idxMin,double,,1024,0.2,4,1489955,False
naive,idxMin,double,,1024,0.2,4,1511620,False
vectorized,idxMin,double,,1024,0.2,5,1500659,False
naive,idxMin,double,,1024,0.2,5,1501287,False
vectorized,idxMin,double,,1024,0.2,6,1500181,False
naive,idxMin,double,,1024,0.2,6,1507384,False
vectorized,idxMin,double,,1024,0.2,7,1507269,False
naive,idxMin,double,,1024,0.2,7,1506657,False
vectorized,idxMin,double,,1024,0.2,8,1504174,False
naive,idxMin,double,,1024,0.2,8,1499488,False
vectorized,idxMin,double,,1024,0.2,9,1529568,False
naive,idxMin,double,,1024,0.2,9,1508791,False
vectorized,idxMin,double,,1024,0.25,0,1509663,True
naive,idxMin,double,,1024,0.25,0,1506744,True
vectorized,idxMin,double,,1024,0.25,1,1503305,True
naive,idxMin,double,,1024,0.25,1,1508107,True
vectorized,idxMin,double,,1024,0.25,2,1527480,True
naive,idxMin,double,,1024,0.25,2,1515891,True
vectorized,idxMin,double,,1024,0.25,3,1507319,True
naive,idxMin,double,,1024,0.25,3,1502836,True
vectorized,idxMin,double,,1024,0.25,4,1507568,True
naive,idxMin,double,,1024,0.25,4,1510483,True
vectorized,idxMin,double,,1024,0.25,5,1514471,True
naive,idxMin,double,,1024,0.25,5,1502718,True
vectorized,idxMin,double,,1024,0.25,6,1504419,True
naive,idxMin,double,,1024,0.25,6,1508950,True
vectorized,idxMin,double,,1024,0.25,7,1518603,True
naive,idxMin,double,,1024,0.25,7,1503611,True
vectorized,idxMin,double,,1024,0.25,8,1500118,True
naive,idxMin,double,,1024,0.25,8,1493071,True
vectorized,idxMin,double,,1024,0.25,9,1520778,True
naive,idxMin,double,,1024,0.25,9,1494810,True
vectorized,idxMin,double,,1024,1.0,0,1518728,True
naive,idxMin,double,,1024,1.0,0,1057194,True
vectorized,idxMin,double,,1024,1.0,1,1560044,True
naive,idxMin,double,,1024,1.0,1,1501200,True
vectorized,idxMin,double,,1024,1.0,2,1532476,True
naive,idxMin,double,,1024,1.0,2,1520987,True
vectorized,idxMin,double,,1024,1.0,3,1517599,True
naive,idxMin,double,,1024,1.0,3,1508980,True
vectorized,idxMin,double,,1024,1.0,4,1520611,True
naive,idxMin,double,,1024,1.0,4,1500728,True
vectorized,idxMin,double,,1024,1.0,5,1520423,True
naive,idxMin,double,,1024,1.0,5,1504298,True
vectorized,idxMin,double,,1024,1.0,6,1510349,True
