mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
vectorized,,int64_t,,1024,0.001,0,28216,False
naive,,int64_t,,1024,0.001,0,27236,False
vectorized,,int64_t,,1024,0.001,1,28024,False
naive,,int64_t,,1024,0.001,1,28341,False
vectorized,,int64_t,,1024,0.001,2,27802,False
naive,,int64_t,,1024,0.001,2,27944,False
vectorized,,int64_t,,1024,0.001,3,28248,False
naive,,int64_t,,1024,0.001,3,27896,False
vectorized,,int64_t,,1024,0.001,4,28785,False
naive,,int64_t,,1024,0.001,4,29049,False
vectorized,,int64_t,,1024,0.001,5,27132,False
naive,,int64_t,,1024,0.001,5,28206,False
vectorized,,int64_t,,1024,0.001,6,27263,False
naive,,int64_t,,1024,0.001,6,27740,False
vectorized,,int64_t,,1024,0.001,7,27333,False
naive,,int64_t,,1024,0.001,7,27258,False
vectorized,,int64_t,,1024,0.001,8,26667,False
naive,,int64_t,,1024,0.001,8,27596,False
vectorized,,int64_t,,1024,0.001,9,27108,False
naive,,int64_t,,1024,0.001,9,27745,False
vectorized,,int64_t,,1024,0.01,0,28522,False
naive,,int64_t,,1024,0.01,0,28391,False
vectorized,,int64_t,,1024,0.01,1,28511,False
naive,,int64_t,,1024,0.01,1,29480,False
vectorized,,int64_t,,1024,0.01,2,29082,False
naive,,int64_t,,1024,0.01,2,28652,False
vectorized,,int64_t,,1024,0.01,3,28981,False
naive,,int64_t,,1024,0.01,3,32561,False
vectorized,,int64_t,,1024,0.01,4,30409,False
naive,,int64_t,,1024,0.01,4,29416,False
vectorized,,int64_t,,1024,0.01,5,29149,False
naive,,int64_t,,1024,0.01,5,29413,False
vectorized,,int64_t,,1024,0.01,6,28494,False
naive,,int64_t,,1024,0.01,6,30321,False
vectorized,,int64_t,,1024,0.01,7,28747,False
naive,,int64_t,,1024,0.01,7,31721,False
vectorized,,int64_t,,1024,0.01,8,28375,False
naive,,int64_t,,1024,0.01,8,29402,False
vectorized,,int64_t,,1024,0.01,9,28563,False
naive,,int64_t,,1024,0.01,9,28656,False
vectorized,,int64_t,,1024,0.05,0,29263,False
naive,,int64_t,,1024,0.05,0,48133,False
vectorized,,int64_t,,1024,0.05,1,28702,False
naive,,int64_t,,1024,0.05,1,31654,False
vectorized,,int64_t,,1024,0.05,2,29420,False
naive,,int64_t,,1024,0.05,2,32519,False
vectorized,,int64_t,,1024,0.05,3,28462,False
naive,,int64_t,,1024,0.05,3,31183,False
vectorized,,int64_t,,1024,0.05,4,29286,False
naive,,int64_t,,1024,0.05,4,31415,False
vectorized,,int64_t,,1024,0.05,5,28414,False
naive,,int64_t,,1024,0.05,5,31624,False
vectorized,,int64_t,,1024,0.05,6,28608,False
naive,,int64_t,,1024,0.05,6,33266,False
vectorized,,int64_t,,1024,0.05,7,29825,False
naive,,int64_t,,1024,0.05,7,33478,False
