mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
vectorized,Add,double,,1024,0.001,0,75,True
naive,Add,double,,1024,0.001,0,42440,True
vectorized,Add,double,,1024,0.001,1,63,True
naive,Add,double,,1024,0.001,1,49403,True
vectorized,Add,double,,1024,0.001,2,73,True
naive,Add,double,,1024,0.001,2,50405,True
vectorized,Add,double,,1024,0.001,3,71,True
naive,Add,double,,1024,0.001,3,50735,True
vectorized,Add,double,,1024,0.001,4,73,True
naive,Add,double,,1024,0.001,4,50899,True
vectorized,Add,double,,1024,0.001,5,74,True
naive,Add,double,,1024,0.001,5,49563,True
vectorized,Add,double,,1024,0.001,6,64,True
naive,Add,double,,1024,0.001,6,49131,True
vectorized,Add,double,,1024,0.001,7,78,True
naive,Add,double,,1024,0.001,7,49244,True
vectorized,Add,double,,1024,0.001,8,72,True
naive,Add,double,,1024,0.001,8,48687,True
vectorized,Add,double,,1024,0.001,9,77,True
naive,Add,double,,1024,0.001,9,49090,True
vectorized,Add,double,,1024,0.01,0,65,True
naive,Add,double,,1024,0.01,0,151246,True
vectorized,Add,double,,1024,0.01,1,66,True
naive,Add,double,,1024,0.01,1,283902,True
vectorized,Add,double,,1024,0.01,2,80,True
naive,Add,double,,1024,0.01,2,285253,True
vectorized,Add,double,,1024,0.01,3,87,True
naive,Add,double,,1024,0.01,3,287260,True
vectorized,Add,double,,1024,0.01,4,81,True
naive,Add,double,,1024,0.01,4,283830,True
vectorized,Add,double,,1024,0.01,5,77,True
naive,Add,double,,1024,0.01,5,287151,True
vectorized,Add,double,,1024,0.01,6,78,True
naive,Add,double,,1024,0.01,6,284277,True
vectorized,Add,double,,1024,0.01,7,82,True
naive,Add,double,,1024,0.01,7,286790,True
vectorized,Add,double,,1024,0.01,8,71,True
naive,Add,double,,1024,0.01,8,286156,True
vectorized,Add,double,,1024,0.01,9,75,True
naive,Add,double,,1024,0.01,9,291138,True
vectorized,Add,double,,1024,0.05,0,81,True
naive,Add,double,,1024,0.05,0,620543,True
vectorized,Add,double,,1024,0.05,1,74,True
naive,Add,double,,1024,0.05,1,1365121,True
vectorized,Add,double,,1024,0.05,2,92,True
naive,Add,double,,1024,0.05,2,1429986,True
vectorized,Add,double,,1024,0.05,3,80,True
naive,Add,double,,1024,0.05,3,1360002,True
vectorized,Add,double,,1024,0.05,4,96,True
