mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
vectorized,exp,double,,1024,0.001,0,93,False
naive,exp,double,,1024,0.001,0,8967732,False
vectorized,exp,double,,1024,0.001,1,90,False
naive,exp,double,,1024,0.001,1,8967562,False
vectorized,exp,double,,1024,0.001,2,86,False
naive,exp,double,,1024,0.001,2,8773679,False
vectorized,exp,double,,1024,0.001,3,90,False
naive,exp,double,,1024,0.001,3,8766070,False
vectorized,exp,double,,1024,0.001,4,87,False
naive,exp,double,,1024,0.001,4,6907225,False
vectorized,exp,double,,1024,0.001,5,86,False
naive,exp,double,,1024,0.001,5,9279543,False
vectorized,exp,double,,1024,0.001,6,71,False
naive,exp,double,,1024,0.001,6,8980320,False
vectorized,exp,double,,1024,0.001,7,94,False
naive,exp,double,,1024,0.001,7,9178116,False
vectorized,exp,double,,1024,0.001,8,84,False
naive,exp,double,,1024,0.001,8,8971505,False
vectorized,exp,double,,1024,0.001,9,84,False
naive,exp,double,,1024,0.001,9,8777878,False
vectorized,exp,double,,1024,0.01,0,84,False
naive,exp,double,,1024,0.01,0,9124993,False
vectorized,exp,double,,1024,0.01,1,87,False
naive,exp,double,,1024,0.01,1,8777227,False
vectorized,exp,double,,1024,0.01,2,77,False
naive,exp,double,,1024,0.01,2,9659155,False
vectorized,exp,double,,1024,0.01,3,79,False
naive,exp,double,,1024,0.01,3,8902284,False
vectorized,exp,double,,1024,0.01,4,80,False
naive,exp,double,,1024,0.01,4,8882216,False
vectorized,exp,double,,1024,0.01,5,78,False
naive,exp,double,,1024,0.01,5,8947115,False
vectorized,exp,double,,1024,0.01,6,85,False
naive,exp,double,,1024,0.01,6,9050573,False
vectorized,exp,double,,1024,0.01,7,88,False
naive,exp,double,,1024,0.01,7,8942397,False
vectorized,exp,double,,1024,0.01,8,81,False
naive,exp,double,,1024,0.01,8,9039901,False
vectorized,exp,double,,1024,0.01,9,74,False
naive,exp,double,,1024,0.01,9,9650484,False
vectorized,exp,double,,1024,0.05,0,79,False
naive,exp,double,,1024,0.05,0,9477142,False
vectorized,exp,double,,1024,0.05,1,85,False
naive,exp,double,,1024,0.05,1,9439372,False
vectorized,exp,double,,1024,0.05,2,85,False
naive,exp,double,,1024,0.05,2,9311030,False
vectorized,exp,double,,1024,0.05,3,75,False
naive,exp,double,,1024,0.05,3,9273646,False
vectorized,exp,double,,1024,0.05,4,79,False
naive,exp,double,,1024,0.05,4,9262901,False
vectorized,exp,double,,1024,0.05,5,74,False
naive,exp,double,,1024,0.05,5,9608992,False
vectorized,exp,double,,1024,0.05,6,72,False
naive,exp,double,,1024,0.05,6,9446578,False
vectorized,exp,double,,1024,0.05,7,88,False
naive,exp,double,,1024,0.05,7,9276981,False
vectorized,exp,double,,1024,0.05,8,72,False
naive,exp,double,,1024,0.05,8,9265738,False
vectorized,exp,double,,1024,0.05,9,87,False
naive,exp,double,,1024,0.05,9,9301855,False
vectorized,exp,double,,1024,0.1,0,78,False
naive,exp,double,,1024,0.1,0,9831747,False
vectorized,exp,double,,1024,0.1,1,145,False
naive,exp,double,,1024,0.1,1,10201880,False
vectorized,exp,double,,1024,0.1,2,82,False
naive,exp,double,,1024,0.1,2,9682103,False
vectorized,exp,double,,1024,0.1,3,88,False
naive,exp,double,,1024,0.1,3,9770992,False
vectorized,exp,double,,1024,0.1,4,83,False
naive,exp,double,,1024,0.1,4,9967586,False
vectorized,exp,double,,1024,0.1,5,85,False
naive,exp,double,,1024,0.1,5,10072018,False
vectorized,exp,double,,1024,0.1,6,89,False
naive,exp,double,,1024,0.1,6,9846028,False
vectorized,exp,double,,1024,0.1,7,87,False
naive,exp,double,,1024,0.1,7,10144205,False
vectorized,exp,double,,1024,0.1,8,83,False
naive,exp,double,,1024,0.1,8,9757050,False
vectorized,exp,double,,1024,0.1,9,77,False
naive,exp,double,,1024,0.1,9,7967305,False
vectorized,exp,double,,1024,0.2,0,84,False
naive,exp,double,,1024,0.2,0,9172119,False
vectorized,exp,double,,1024,0.2,1,82,False
naive,exp,double,,1024,0.2,1,10958897,False
vectorized,exp,double,,1024,0.2,2,86,False
naive,exp,double,,1024,0.2,2,11088390,False
vectorized,exp,double,,1024,0.2,3,95,False
naive,exp,double,,1024,0.2,3,10926688,False
vectorized,exp,double,,1024,0.2,4,71,False
naive,exp,double,,1024,0.2,4,10921463,False
vectorized,exp,double,,1024,0.2,5,91,False
naive,exp,double,,1024,0.2,5,10800244,False
vectorized,exp,double,,1024,0.2,6,85,False
naive,exp,double,,1024,0.2,6,10732904,False
vectorized,exp,double,,1024,0.2,7,82,False
naive,exp,double,,1024,0.2,7,10754273,False
vectorized,exp,double,,1024,0.2,8,105,False
naive,exp,double,,1024,0.2,8,10750154,False
vectorized,exp,double,,1024,0.2,9,88,False
naive,exp,double,,1024,0.2,9,10794992,False
vectorized,exp,double,,1024,0.25,0,87,True
naive,exp,double,,1024,0.25,0,11303430,True
vectorized,exp,double,,1024,0.25,1,74,True
naive,exp,double,,1024,0.25,1,11935007,True
vectorized,exp,double,,1024,0.25,2,86,True
naive,exp,double,,1024,0.25,2,11278595,True
vectorized,exp,double,,1024,0.25,3,94,True
naive,exp,double,,1024,0.25,3,11431480,True
vectorized,exp,double,,1024,0.25,4,72,True
naive,exp,double,,1024,0.25,4,11262045,True
vectorized,exp,double,,1024,0.25,5,85,True
naive,exp,double,,1024,0.25,5,11264938,True
vectorized,exp,double,,1024,0.25,6,92,True
naive,exp,double,,1024,0.25,6,11272752,True
vectorized,exp,double,,1024,0.25,7,80,True
naive,exp,double,,1024,0.25,7,9784375,True
vectorized,exp,double,,1024,0.25,8,86,True
naive,exp,double,,1024,0.25,8,11480847,True
vectorized,exp,double,,1024,0.25,9,73,True
naive,exp,double,,1024,0.25,9,11455031,True
vectorized,exp,double,,1024,1.0,0,92,True
naive,exp,double,,1024,1.0,0,9528765,True
vectorized,exp,double,,1024,1.0,1,78,True
naive,exp,double,,1024,1.0,1,9212681,True
vectorized,exp,double,,1024,1.0,2,86,True
