mode,op,element_type,analysis,n,sparsity,select-matrix-repr,mean_ns,std_ns
naive,idxMax,double,max,1024,0.001,False,1065941.2,11189.430377717088
naive,idxMax,double,max,1024,0.01,False,1085952.3,7094.308736977543
naive,idxMax,double,max,1024,0.05,False,1095314.1,15612.04742391804
naive,idxMax,double,max,1024,0.1,False,1081344.6,73326.401330247
naive,idxMax,double,max,1024,0.2,False,1052334.4,34787.65268565525
naive,idxMax,double,max,1024,0.25,True,1039010.6,46776.262354128135
naive,idxMax,double,max,1024,1.0,True,1109950.2,66599.51348971453
naive,idxMax,double,max,2048,0.001,False,3337730.0,84209.06942313939
naive,idxMax,double,max,2048,0.01,False,3344415.6,151368.05750972257
naive,idxMax,double,max,2048,0.05,False,3340968.5,70475.88301484572
naive,idxMax,double,max,2048,0.1,False,3700738.7,557507.266131433
naive,idxMax,double,max,2048,0.2,False,3473101.9,376690.5324540881
naive,idxMax,double,max,2048,0.25,True,3343249.7,52513.0670469529
naive,idxMax,double,max,2048,1.0,True,4338347.6,511459.1992584007
naive,idxMax,double,max,4096,0.001,False,14143331.5,1512423.4003648472
naive,idxMax,double,max,4096,0.01,False,14030745.8,964544.4217217899
naive,idxMax,double,max,4096,0.05,False,13702626.5,165034.6171775621
naive,idxMax,double,max,4096,0.1,False,13714558.6,68145.48207768431
naive,idxMax,double,max,4096,0.2,False,14621152.2,1883164.9398790677
naive,idxMax,double,max,4096,0.25,True,14452927.7,1694309.1564655849
naive,idxMax,double,max,4096,1.0,True,13831813.8,472752.032908209
naive,idxMax,double,mean,1024,0.001,False,1069792.5,9878.297573187629
naive,idxMax,double,mean,1024,0.01,False,1090036.2,6218.260703587302
naive,idxMax,double,mean,1024,0.05,False,1094976.5,10938.299646959154
naive,idxMax,double,mean,1024,0.1,False,1079115.2,33253.934977850484
naive,idxMax,double,mean,1024,0.2,False,1056569.7,60315.50883120081
naive,idxMax,double,mean,1024,0.25,True,1060569.8,18680.568982531313
naive,idxMax,double,mean,1024,1.0,True,1134519.8,8731.491304467987
naive,idxMax,double,mean,2048,0.001,False,3443137.7,412054.0501174977
naive,idxMax,double,mean,2048,0.01,False,3506004.5,420172.2494282685
naive,idxMax,double,mean,2048,0.05,False,3529049.6,462185.78325080016
naive,idxMax,double,mean,2048,0.1,False,3530507.3,409652.4018468584
naive,idxMax,double,mean,2048,0.2,False,3584675.5,457574.21622514474
naive,idxMax,double,mean,2048,0.25,True,3347092.8,17972.80129529063
naive,idxMax,double,mean,2048,1.0,True,4536325.2,63137.73799101627
naive,idxMax,double,mean,4096,0.001,False,13842328.7,581604.6453580055
