mode,op,element_type,analysis,n,sparsity,select-matrix-repr,mean_ns,std_ns
naive,idxMax,double,max,1024,0.001,False,1471526.9,144986.31305322115
naive,idxMax,double,max,1024,0.01,False,1472131.4,146058.60466736552
naive,idxMax,double,max,1024,0.05,False,1519495.3,10637.665314552996
naive,idxMax,double,max,1024,0.1,False,1508361.2,6472.084599776677
naive,idxMax,double,max,1024,0.2,False,1503896.6,9847.084838784644
naive,idxMax,double,max,1024,0.25,True,1496762.5,11066.174529719932
naive,idxMax,double,max,1024,1.0,True,1509166.2,9716.821322954438
naive,idxMax,double,max,2048,0.001,False,5392942.5,117625.75194918463
naive,idxMax,double,max,2048,0.01,False,5478429.9,436879.8726447581
naive,idxMax,double,max,2048,0.05,False,5341558.7,19288.607150048214
naive,idxMax,double,max,2048,0.1,False,5646320.5,420854.5469882941
naive,idxMax,double,max,2048,0.2,False,5343582.7,12823.640738452053
naive,idxMax,double,max,2048,0.25,True,5549680.2,432552.45771320426
naive,idxMax,double,max,2048,1.0,True,5694627.7,387572.6080654796
naive,idxMax,double,max,4096,0.001,False,21472649.5,90817.46151637184
naive,idxMax,double,max,4096,0.01,False,21783027.1,942649.7489836769
naive,idxMax,double,max,4096,0.05,False,21470828.5,65465.18591375365
naive,idxMax,double,max,4096,0.1,False,22978679.5,2585550.7476296136
naive,idxMax,double,max,4096,0.2,False,22707825.7,2582452.921647903
naive,idxMax,double,max,4096,0.25,True,21783824.6,619922.7494117848
naive,idxMax,double,max,4096,1.0,True,22210548.1,1665707.6148779301
naive,idxMax,double,mean,1024,0.001,False,1528799.8,27996.254923352364
naive,idxMax,double,mean,1024,0.01,False,1419857.8,191499.07538958685
naive,idxMax,double,mean,1024,0.05,False,1449487.0,157762.16569746865
naive,idxMax,double,mean,1024,0.1,False,1498506.3,36237.216541530586
naive,idxMax,double,mean,1024,0.2,False,1507267.8,4502.565757432095
naive,idxMax,double,mean,1024,0.25,True,1506637.4,10926.440868116408
naive,idxMax,double,mean,1024,1.0,True,1515325.8,11699.55626698912
naive,idxMax,double,mean,2048,0.001,False,5675747.2,633275.7871857516
naive,idxMax,double,mean,2048,0.01,False,5352611.7,11911.4602244132
naive,idxMax,double,mean,2048,0.05,False,5534925.5,458360.087985236
naive,idxMax,double,mean,2048,0.1,False,5560954.1,472389.256639162
naive,idxMax,double,mean,2048,0.2,False,5592114.7,543511.5274114454
naive,idxMax,double,mean,2048,0.25,True,5641144.6,566337.43436306
naive,idxMax,double,mean,2048,1.0,True,6042325.0,243531.1966696121
naive,idxMax,double,mean,4096,0.001,False,21921321.1,1029123.0012878228
naive,idxMax,double,mean,4096,0.01,False,22353948.7,2108432.958896306
