mode,op,element_type,analysis,n,sparsity,select-matrix-repr,mean_ns,std_ns
naive,,int64_t,max,1024,0.001,False,29954.0,1384.3400352996127
naive,,int64_t,max,1024,0.01,False,32778.8,1728.3702535433026
naive,,int64_t,max,1024,0.05,False,33806.9,1011.1127478619226
naive,,int64_t,max,1024,0.1,False,34106.3,1572.7719372708382
naive,,int64_t,max,1024,0.2,False,35768.5,6455.555596194301
naive,,int64_t,max,1024,0.25,True,34040.3,1735.3430688675555
naive,,int64_t,max,1024,1.0,True,33080.5,1661.287469270612
naive,,int64_t,max,2048,0.001,False,33612.4,1009.6120487042974
naive,,int64_t,max,2048,0.01,False,37647.2,5829.262899848964
naive,,int64_t,max,2048,0.05,False,37928.8,1647.2992577077314
naive,,int64_t,max,2048,0.1,False,37400.7,1356.9608239657393
naive,,int64_t,max,2048,0.2,False,37120.6,1115.3334528790522
naive,,int64_t,max,2048,0.25,True,36418.5,1359.9614577871928
naive,,int64_t,max,2048,1.0,True,35072.7,1556.1231777865285
naive,,int64_t,max,4096,0.001,False,43034.4,1926.5824203034306
naive,,int64_t,max,4096,0.01,False,45158.0,3170.467753782994
naive,,int64_t,max,4096,0.05,False,43818.8,1584.0468427417163
naive,,int64_t,max,4096,0.1,False,44800.6,5591.376956230609
naive,,int64_t,max,4096,0.2,False,42141.0,1797.3238130311659
naive,,int64_t,max,4096,0.25,True,41005.3,1469.5663041258874
naive,,int64_t,max,4096,1.0,True,39644.8,1390.2275433259929
naive,,int64_t,mean,1024,0.001,False,32620.5,1123.5021881005243
naive,,int64_t,mean,1024,0.01,False,34932.5,1076.6493548659812
naive,,int64_t,mean,1024,0.05,False,37140.0,1696.028039600499
naive,,int64_t,mean,1024,0.1,False,35906.6,846.391713885087
naive,,int64_t,mean,1024,0.2,False,37322.3,2196.8845137299922
naive,,int64_t,mean,1024,0.25,True,36920.5,2557.9499278393505
naive,,int64_t,mean,1024,1.0,True,37680.3,6101.646754952488
naive,,int64_t,mean,2048,0.001,False,36896.0,1215.6087638161662
naive,,int64_t,mean,2048,0.01,False,38472.4,546.9024288359543
naive,,int64_t,mean,2048,0.05,False,39530.2,1805.1046630166468
naive,,int64_t,mean,2048,0.1,False,39215.8,1467.6261104245866
naive,,int64_t,mean,2048,0.2,False,39819.1,2054.2382448651524
naive,,int64_t,mean,2048,0.25,True,39052.7,1775.2374520359565
