mode,op,element_type,analysis,n,sparsity,select-matrix-repr,mean_ns,std_ns
naive,Add,double,max,1024,0.001,True,50544.7,2480.099731417624
naive,Add,double,max,1024,0.01,True,278898.4,43825.552422708315
naive,Add,double,max,1024,0.05,True,1354633.0,231219.95844265303
naive,Add,double,max,1024,0.1,True,2701916.4,476680.10059535736
naive,Add,double,max,1024,0.2,False,4339497.1,93668.79470708354
naive,Add,double,max,1024,0.25,True,4324732.3,144546.4907779962
naive,Add,double,max,1024,1.0,True,5699671.9,74835.63973201526
naive,Add,double,max,2048,0.001,True,139061.9,13897.586452730244
naive,Add,double,max,2048,0.01,True,1147224.1,205433.28338387082
naive,Add,double,max,2048,0.05,True,4223386.0,923228.2170429055
naive,Add,double,max,2048,0.1,True,8164374.3,1718225.3284750294
naive,Add,double,max,2048,0.2,False,18194080.4,131706.97219138342
naive,Add,double,max,2048,0.25,True,17811465.1,483297.7215017327
naive,Add,double,max,2048,1.0,True,17768812.0,435105.0491195576
naive,Add,double,max,4096,0.001,True,492853.5,63695.252886520335
naive,Add,double,max,4096,0.01,True,4352038.5,906783.2973382401
naive,Add,double,max,4096,0.05,True,16467612.8,3431352.1583322994
naive,Add,double,max,4096,0.1,True,32783043.2,6889733.503798062
naive,Add,double,max,4096,0.2,False,73747113.4,1009526.3711574208
naive,Add,double,max,4096,0.25,True,74206854.4,1712321.4052486497
naive,Add,double,max,4096,1.0,True,73872667.4,1554769.7493221187
naive,Add,double,mean,1024,0.001,True,50301.7,2587.5288962422983
naive,Add,double,mean,1024,0.01,True,277169.9,41932.62858032578
naive,Add,double,mean,1024,0.05,True,1357467.9,250552.31603242288
naive,Add,double,mean,1024,0.1,True,2673985.3,476114.5675654244
naive,Add,double,mean,1024,0.2,False,4231606.3,117863.57669596937
naive,Add,double,mean,1024,0.25,True,4359690.0,195947.30713751703
naive,Add,double,mean,1024,1.0,True,5533413.7,127525.6075165124
naive,Add,double,mean,2048,0.001,True,140662.2,14811.475046958245
naive,Add,double,mean,2048,0.01,True,1284699.0,575745.8357164982
naive,Add,double,mean,2048,0.05,True,4268897.0,791170.4818630011
naive,Add,double,mean,2048,0.1,True,7971511.3,1595956.806317629
naive,Add,double,mean,2048,0.2,False,17890735.2,162450.3326311017
naive,Add,double,mean,2048,0.25,True,17624074.0,550745.4617899474
naive,Add,double,mean,2048,1.0,True,17990078.0,363246.4797162145
naive,Add,double,mean,4096,0.001,True,487172.5,62543.86435889969
naive,Add,double,mean,4096,0.01,True,4375577.4,930986.8407719247
naive,Add,double,mean,4096,0.05,True,16008503.8,3355204.2280983864
naive,Add,double,mean,4096,0.1,True,31815702.3,6430753.396456093
naive,Add,double,mean,4096,0.2,False,73214354.2,953167.8887687897
naive,Add,double,mean,4096,0.25,True,72793550.6,420865.56392146467
naive,Add,double,mean,4096,1.0,True,72744639.7,1514354.5139845365
naive,Add,double,min,1024,0.001,True,49463.9,3298.7187900085623
naive,Add,double,min,1024,0.01,True,274623.2,43585.34435334887
naive,Add,double,min,1024,0.05,True,1384618.9,242735.71764710595
naive,Add,double,min,1024,0.1,True,2707284.8,469254.44766489835
naive,Add,double,min,1024,0.2,False,4319556.4,130896.66503026134
naive,Add,double,min,1024,0.25,True,4424048.0,194279.88420603692
naive,Add,double,min,1024,1.0,True,5709369.1,101757.67727569472
naive,Add,double,min,2048,0.001,True,141640.5,12747.186088179093
naive,Add,double,min,2048,0.01,True,1128272.9,202745.44375340882
naive,Add,double,min,2048,0.05,True,4125697.7,838420.9556000759
naive,Add,double,min,2048,0.1,True,8012361.8,1689827.208313113
naive,Add,double,min,2048,0.2,False,18422416.6,247547.14935417497
naive,Add,double,min,2048,0.25,True,18176226.3,514282.20307294995
naive,Add,double,min,2048,1.0,True,17792322.9,392884.2689861314
naive,Add,double,min,4096,0.001,True,490298.5,64295.74168075035
naive,Add,double,min,4096,0.01,True,4451836.0,796138.9993392415
naive,Add,double,min,4096,0.05,True,16729265.4,3522005.281330737
naive,Add,double,min,4096,0.1,True,32908896.7,6648741.424626936
naive,Add,double,min,4096,0.2,False,74039687.1,2540293.041112102
naive,Add,double,min,4096,0.25,True,73432992.1,1463848.344469503
naive,Add,double,min,4096,1.0,True,73386487.3,491490.76963957335
naive,Add,double,min max,1024,0.001,True,51964.6,3012.438333163206
naive,Add,double,min max,1024,0.01,True,284396.9,43681.73117868232
naive,Add,double,min max,1024,0.05,True,1410887.5,250085.1447097568
naive,Add,double,min max,1024,0.1,True,2763813.6,491661.8850525
naive,Add,double,min max,1024,0.2,False,4687915.5,73885.13082293494
naive,Add,double,min max,1024,0.25,True,4729235.4,204342.6729867694
naive,Add,double,min max,1024,1.0,True,6030056.5,95888.6000584358
naive,Add,double,min max,2048,0.001,True,147858.5,16479.756303821163
naive,Add,double,min max,2048,0.01,True,1154562.3,200016.64167655315
naive,Add,double,min max,2048,0.05,True,4446140.3,961508.6841638279
naive,Add,double,min max,2048,0.1,True,8331338.3,1683123.961690816
naive,Add,double,min max,2048,0.2,False,19883406.0,503639.7600618037
naive,Add,double,min max,2048,0.25,True,20305080.0,588202.7563825247
naive,Add,double,min max,2048,1.0,True,19994661.3,970573.4477953451
naive,Add,double,min max,4096,0.001,True,499697.8,66113.07088079398
naive,Add,double,min max,4096,0.01,True,4179918.5,1071905.4413596846
naive,Add,double,min max,4096,0.05,True,17284426.8,3632521.655821929
naive,Add,double,min max,4096,0.1,True,34139378.6,6967491.8431487745
naive,Add,double,min max,4096,0.2,False,82436589.8,2837169.576992958
naive,Add,double,min max,4096,0.25,True,81789335.7,694385.3449629715
naive,Add,double,min max,4096,1.0,True,80704135.8,830947.9757259582
naive,Add,double,min max mean symmetry,1024,0.001,False,15549752.5,389332.3122493031
naive,Add,double,min max mean symmetry,1024,0.01,False,15404137.8,299540.73142091674
naive,Add,double,min max mean symmetry,1024,0.05,False,16488754.4,515654.5738623441
naive,Add,double,min max mean symmetry,1024,0.1,False,17176766.5,473233.38089531614
naive,Add,double,min max mean symmetry,1024,0.2,False,17750904.1,266413.85032416094
naive,Add,double,min max mean symmetry,1024,0.25,True,17398127.4,231154.169943977
naive,Add,double,min max mean symmetry,1024,1.0,True,19083882.9,124774.11749277252
naive,Add,double,min max mean symmetry,2048,0.001,False,61557358.3,501536.87958116387
naive,Add,double,min max mean symmetry,2048,0.01,False,62884119.1,572256.9973784017
naive,Add,double,min max mean symmetry,2048,0.05,False,68343724.9,1904233.0121697888
naive,Add,double,min max mean symmetry,2048,0.1,False,75836071.8,3571323.718152814
naive,Add,double,min max mean symmetry,2048,0.2,False,77337854.8,1747455.9172565895
naive,Add,double,min max mean symmetry,2048,0.25,True,75716471.4,2014033.1816855676
naive,Add,double,min max mean symmetry,2048,1.0,True,62646962.2,743116.305418502
naive,Add,double,min max mean symmetry,4096,0.001,False,269546093.3,1511837.742459175
naive,Add,double,min max mean symmetry,4096,0.01,False,276521735.8,4149727.270292442
naive,Add,double,min max mean symmetry,4096,0.05,False,296538305.1,3726508.0818961915
naive,Add,double,min max mean symmetry,4096,0.1,False,319876425.0,7021513.135425442
naive,Add,double,min max mean symmetry,4096,0.2,False,330418854.2,5393887.030337112
