mode,op,element_type,analysis,n,sparsity,select-matrix-repr,mean_ns,std_ns
naive,Minus,double,max,1024,0.001,False,5440883.5,63903.952161296926
naive,Minus,double,max,1024,0.01,False,5340633.3,240929.10662684788
naive,Minus,double,max,1024,0.05,False,5468121.4,284344.4037345479
naive,Minus,double,max,1024,0.1,False,5530288.1,300630.11624824494
naive,Minus,double,max,1024,0.2,False,5647540.1,54674.06697156447
naive,Minus,double,max,1024,0.25,True,5659907.1,53386.50044398445
naive,Minus,double,max,1024,1.0,True,5095244.0,565808.1005841704
naive,Minus,double,max,2048,0.001,False,17534774.0,612271.198830679
naive,Minus,double,max,2048,0.01,False,17228147.8,515014.26220225514
naive,Minus,double,max,2048,0.05,False,17209021.2,659676.9100486155
naive,Minus,double,max,2048,0.1,False,17535339.0,472880.99037613167
naive,Minus,double,max,2048,0.2,False,17384740.1,451381.721893627
naive,Minus,double,max,2048,0.25,True,17158129.9,316679.49699532316
naive,Minus,double,max,2048,1.0,True,19353081.0,1140077.6665943023
naive,Minus,double,max,4096,0.001,False,70009175.1,1169522.5467494016
naive,Minus,double,max,4096,0.01,False,69091715.7,1771989.6523238781
naive,Minus,double,max,4096,0.05,False,70469315.1,2236736.807496001
naive,Minus,double,max,4096,0.1,False,67933200.5,1824623.205631006
naive,Minus,double,max,4096,0.2,False,69247335.7,2470931.514154667
naive,Minus,double,max,4096,0.25,True,69793395.9,1200901.4572040327
naive,Minus,double,max,4096,1.0,True,68980285.0,2569058.183110561
naive,Minus,double,mean,1024,0.001,False,5166395.4,381013.8279620133
naive,Minus,double,mean,1024,0.01,False,5291905.3,361860.6974762679
naive,Minus,double,mean,1024,0.05,False,5526872.1,70657.45733930399
naive,Minus,double,mean,1024,0.1,False,5562932.6,28874.21952846135
naive,Minus,double,mean,1024,0.2,False,5557510.6,12244.793480405348
naive,Minus,double,mean,1024,0.25,True,5501735.7,362077.3118001949
naive,Minus,double,mean,1024,1.0,True,5246167.5,287370.5221170628
naive,Minus,double,mean,2048,0.001,False,17315951.6,382234.1622877552
naive,Minus,double,mean,2048,0.01,False,17032404.6,541377.6716288422
naive,Minus,double,mean,2048,0.05,False,17221955.4,584132.0764642949
naive,Minus,double,mean,2048,0.1,False,17008425.6,637744.2048683434
naive,Minus,double,mean,2048,0.2,False,16922526.1,487182.32537371863
naive,Minus,double,mean,2048,0.25,True,16925172.6,376706.2111127625
naive,Minus,double,mean,2048,1.0,True,19285368.1,398648.5740973845
naive,Minus,double,mean,4096,0.001,False,69130202.9,1720074.231112494
naive,Minus,double,mean,4096,0.01,False,68764985.9,2093574.6297289103
naive,Minus,double,mean,4096,0.05,False,69181698.6,2131823.360967956
naive,Minus,double,mean,4096,0.1,False,67652464.8,1610410.347096858
naive,Minus,double,mean,4096,0.2,False,69303963.9,2893891.949729348
naive,Minus,double,mean,4096,0.25,True,68510593.3,1933170.7748595062
naive,Minus,double,mean,4096,1.0,True,67812889.2,1903580.8662727573
naive,Minus,double,min,1024,0.001,False,5438085.3,48287.31599280371
naive,Minus,double,min,1024,0.01,False,5312625.1,261211.5436586684
naive,Minus,double,min,1024,0.05,False,5471479.0,352122.934140905
naive,Minus,double,min,1024,0.1,False,5596239.1,16648.268274641814
naive,Minus,double,min,1024,0.2,False,5696707.9,152840.39899439758
naive,Minus,double,min,1024,0.25,True,5551159.1,379855.3936570102
naive,Minus,double,min,1024,1.0,True,5470075.2,103948.13545952193
naive,Minus,double,min,2048,0.001,False,17335885.8,568833.0320660984
naive,Minus,double,min,2048,0.01,False,17265860.8,509236.55080626975
naive,Minus,double,min,2048,0.05,False,17118857.8,554126.0132424352
naive,Minus,double,min,2048,0.1,False,17386652.8,733430.3112775089
naive,Minus,double,min,2048,0.2,False,17494057.6,592582.803038285
naive,Minus,double,min,2048,0.25,True,17260564.5,372512.7521465986
naive,Minus,double,min,2048,1.0,True,19519179.7,484033.1202953982
naive,Minus,double,min,4096,0.001,False,69828246.7,2857886.7052187375
naive,Minus,double,min,4096,0.01,False,70068007.9,3476770.054389258
naive,Minus,double,min,4096,0.05,False,69240519.1,1867542.2520469371
naive,Minus,double,min,4096,0.1,False,69589341.1,2089315.0450557533
naive,Minus,double,min,4096,0.2,False,70051496.9,1968002.9887153483
naive,Minus,double,min,4096,0.25,True,71022520.4,2498366.45701943
naive,Minus,double,min,4096,1.0,True,70190092.3,3283580.97409233
naive,Minus,double,min max,1024,0.001,False,5726092.8,302212.81997176906
