op,element_type,analysis,n,sparsity,mean_ns,std_ns
IDXMAX,double,min,1024,0.25,467078.8,7886.625835340894
IDXMAX,double,min,1024,1.0,525340.1,32745.856831904028
IDXMAX,double,min,2048,0.25,2201951.0,30350.720090304272
IDXMAX,double,min,2048,1.0,2361973.0,15528.800518892469
IDXMAX,double,min,4096,0.25,9331427.0,16093.236709182507
IDXMAX,double,min,4096,1.0,9578934.0,51799.13281127398
IDXMAX,double,"min, max",1024,0.25,472504.9,8986.59174610215
IDXMAX,double,"min, max",1024,1.0,493340.2,39745.79531304748
IDXMAX,double,"min, max",2048,0.25,2249431.0,26220.58328446901
IDXMAX,double,"min, max",2048,1.0,2299006.0,31492.06573796727
IDXMAX,double,"min, max",4096,0.25,9347048.0,13176.657643980303
IDXMAX,double,"min, max",4096,1.0,9374990.0,10240.916842636114
IDXMAX,double,"min, max, mean, sparsity, numDistinctApprox",1024,0.25,735868.9,52170.88460573047
IDXMAX,double,"min, max, mean, sparsity, numDistinctApprox",1024,1.0,759079.8,64782.96231057464
IDXMAX,double,"min, max, mean, sparsity, numDistinctApprox",2048,0.25,3018093.0,67732.30495446353
IDXMAX,double,"min, max, mean, sparsity, numDistinctApprox",2048,1.0,3067200.0,102441.82338175055
IDXMAX,double,"min, max, mean, sparsity, numDistinctApprox",4096,0.25,11810140.0,131575.2273205123
IDXMAX,double,"min, max, mean, sparsity, numDistinctApprox",4096,1.0,11927540.0,88801.60408961587
IDXMAX,double,numDistinct,1024,0.25,632344.7,12674.068416784474
IDXMAX,double,numDistinct,1024,1.0,650976.4,37397.63280149634
IDXMAX,double,numDistinct,2048,0.25,2618206.0,28407.099738543428
IDXMAX,double,numDistinct,2048,1.0,2649557.0,35703.9587129743
IDXMAX,double,numDistinct,4096,0.25,10630730.0,18217.02805374959
IDXMAX,double,numDistinct,4096,1.0,10660070.0,23811.157515379673
IDXMAX,double,numDistinctApprox,1024,0.25,673284.9,10744.30932013157
IDXMAX,double,numDistinctApprox,1024,1.0,704256.2,50763.94574192284
IDXMAX,double,numDistinctApprox,2048,0.25,2896520.0,20994.514098264368
IDXMAX,double,numDistinctApprox,2048,1.0,2948617.0,49808.930491094274
IDXMAX,double,numDistinctApprox,4096,0.25,11558630.0,18168.1681336708
IDXMAX,double,numDistinctApprox,4096,1.0,11604570.0,33246.85615880771
IDXMAX,double,sparsity,1024,0.25,666513.4,54286.34030193764
IDXMAX,double,sparsity,1024,1.0,725128.6,61873.96195169663
IDXMAX,double,sparsity,2048,0.25,2977754.0,80057.63607135382
IDXMAX,double,sparsity,2048,1.0,2985811.0,173230.53621306684
IDXMAX,double,sparsity,4096,0.25,12151790.0,434245.9657587827
IDXMAX,double,sparsity,4096,1.0,12217720.0,385209.8816085706
IDXMAX,int64_t,min,1024,0.25,347713.5,10932.701234268581
IDXMAX,int64_t,min,1024,1.0,373370.2,62119.317952183315
IDXMAX,int64_t,min,2048,0.25,1967917.0,86847.04524494644
IDXMAX,int64_t,min,2048,1.0,2180244.0,25368.116997522688
IDXMAX,int64_t,min,4096,0.25,9023950.0,11946.627604103038
IDXMAX,int64_t,min,4096,1.0,9061618.0,21742.341078079706
IDXMAX,int64_t,"min, max",1024,0.25,403177.7,18734.554675785595
IDXMAX,int64_t,"min, max",1024,1.0,416381.8,54747.13631841091
IDXMAX,int64_t,"min, max",2048,0.25,2075299.0,48552.85469350786
IDXMAX,int64_t,"min, max",2048,1.0,2119503.0,56013.195677447264
IDXMAX,int64_t,"min, max",4096,0.25,8941659.0,37923.85161229167
IDXMAX,int64_t,"min, max",4096,1.0,8969509.0,34801.34143327738
IDXMAX,int64_t,"min, max, mean, sparsity, numDistinctApprox",1024,0.25,575305.7,25922.500964091647
IDXMAX,int64_t,"min, max, mean, sparsity, numDistinctApprox",1024,1.0,577929.2,43843.18573887319
IDXMAX,int64_t,"min, max, mean, sparsity, numDistinctApprox",2048,0.25,2334621.0,18498.071641239934
IDXMAX,int64_t,"min, max, mean, sparsity, numDistinctApprox",2048,1.0,2359654.0,13106.931329982948
IDXMAX,int64_t,"min, max, mean, sparsity, numDistinctApprox",4096,0.25,9337440.0,31071.628716742678
IDXMAX,int64_t,"min, max, mean, sparsity, numDistinctApprox",4096,1.0,9291790.0,18824.499993359655
IDXMAX,int64_t,numDistinct,1024,0.25,474191.6,15005.790461611074
IDXMAX,int64_t,numDistinct,1024,1.0,483877.9,59533.46365317948
IDXMAX,int64_t,numDistinct,2048,0.25,2202560.0,75646.33941352794
IDXMAX,int64_t,numDistinct,2048,1.0,2278236.0,67868.46464546947
IDXMAX,int64_t,numDistinct,4096,0.25,9257082.0,18618.795640725893
IDXMAX,int64_t,numDistinct,4096,1.0,9227229.0,17118.131031161116
IDXMAX,int64_t,numDistinctApprox,1024,0.25,504366.6,11602.426625495205
IDXMAX,int64_t,numDistinctApprox,1024,1.0,516875.2,60445.048987213755
IDXMAX,int64_t,numDistinctApprox,2048,0.25,2269171.0,69822.52731827395
IDXMAX,int64_t,numDistinctApprox,2048,1.0,2311470.0,92150.34189362031
IDXMAX,int64_t,numDistinctApprox,4096,0.25,9444732.0,27863.436734664792
IDXMAX,int64_t,numDistinctApprox,4096,1.0,9414950.0,23655.887216504892
IDXMAX,int64_t,sparsity,1024,0.25,420193.5,8067.516446286988
IDXMAX,int64_t,sparsity,1024,1.0,437750.6,56744.94010962075
IDXMAX,int64_t,sparsity,2048,0.25,2164423.0,32876.8480004462
IDXMAX,int64_t,sparsity,2048,1.0,2213506.0,24468.55269751581
IDXMAX,int64_t,sparsity,4096,0.25,9195005.0,75270.00084879626
IDXMAX,int64_t,sparsity,4096,1.0,9147457.0,18218.37354004046
IDXMIN,double,min,1024,0.25,474693.1,10114.932431805957
IDXMIN,double,min,1024,1.0,514178.1,40273.109466491405
IDXMIN,double,min,2048,0.25,2246483.0,37719.291571643655
IDXMIN,double,min,2048,1.0,2359774.0,24807.615855709413
IDXMIN,double,min,4096,0.25,9362608.0,15185.830969104896
IDXMIN,double,min,4096,1.0,9562066.0,28512.48545228309
IDXMIN,double,"min, max",1024,0.25,478566.2,11324.324741212791
IDXMIN,double,"min, max",1024,1.0,501751.2,39816.6034792299
IDXMIN,double,"min, max",2048,0.25,2250516.0,29955.43549267068
IDXMIN,double,"min, max",2048,1.0,2295070.0,36321.55130069345
IDXMIN,double,"min, max",4096,0.25,9349033.0,15766.223425763925
IDXMIN,double,"min, max",4096,1.0,10352310.0,1037411.1287666468
IDXMIN,double,"min, max, mean, sparsity, numDistinctApprox",1024,0.25,707974.0,20002.80076500398
IDXMIN,double,"min, max, mean, sparsity, numDistinctApprox",1024,1.0,735852.3,50139.17512961075
IDXMIN,double,"min, max, mean, sparsity, numDistinctApprox",2048,0.25,2993991.0,49768.00075237995
IDXMIN,double,"min, max, mean, sparsity, numDistinctApprox",2048,1.0,3066010.0,61422.66664495918
IDXMIN,double,"min, max, mean, sparsity, numDistinctApprox",4096,0.25,11881430.0,44794.222097647114
IDXMIN,double,"min, max, mean, sparsity, numDistinctApprox",4096,1.0,11953250.0,45028.34292605782
IDXMIN,double,numDistinct,1024,0.25,668303.0,20854.03712047677
IDXMIN,double,numDistinct,1024,1.0,702299.5,28445.404261692453
IDXMIN,double,numDistinct,2048,0.25,2745986.0,54589.17723423856
IDXMIN,double,numDistinct,2048,1.0,2782293.0,74247.64239429495
IDXMIN,double,numDistinct,4096,0.25,11003520.0,149721.19125598494
IDXMIN,double,numDistinct,4096,1.0,11033260.0,167957.09240424726
IDXMIN,double,numDistinctApprox,1024,0.25,728073.9,63228.70190287179
IDXMIN,double,numDistinctApprox,1024,1.0,760788.9,55443.75940927286
IDXMIN,double,numDistinctApprox,2048,0.25,2973206.0,88905.94733262289
IDXMIN,double,numDistinctApprox,2048,1.0,3196620.0,150955.91725916398
IDXMIN,double,numDistinctApprox,4096,0.25,11761830.0,271273.4211086666
IDXMIN,double,numDistinctApprox,4096,1.0,11884810.0,279162.8097246002
IDXMIN,double,sparsity,1024,0.25,623577.2,21843.221027230546
IDXMIN,double,sparsity,1024,1.0,647373.5,50245.16357764641
IDXMIN,double,sparsity,2048,0.25,2855039.0,47863.40366083467
IDXMIN,double,sparsity,2048,1.0,2905425.0,71439.41166393302
IDXMIN,double,sparsity,4096,0.25,11565960.0,131067.03289199427
IDXMIN,double,sparsity,4096,1.0,11587480.0,173315.9016875769
IDXMIN,int64_t,min,1024,0.25,354907.3,13612.71272703898
IDXMIN,int64_t,min,1024,1.0,374039.7,60411.9844402674
IDXMIN,int64_t,min,2048,0.25,2034349.0,76969.29091094274
IDXMIN,int64_t,min,2048,1.0,2187019.0,25440.93789763093
IDXMIN,int64_t,min,4096,0.25,9041567.0,24701.207370401025
IDXMIN,int64_t,min,4096,1.0,9055902.0,14785.516035784689
IDXMIN,int64_t,"min, max",1024,0.25,353566.3,14273.142650524518
IDXMIN,int64_t,"min, max",1024,1.0,378034.4,65272.37076061441
IDXMIN,int64_t,"min, max",2048,0.25,1986058.0,61188.957209977394
IDXMIN,int64_t,"min, max",2048,1.0,2133554.0,70877.585424135
IDXMIN,int64_t,"min, max",4096,0.25,9029847.0,12500.161821174872
IDXMIN,int64_t,"min, max",4096,1.0,9069002.0,8400.286767592175
IDXMIN,int64_t,"min, max, mean, sparsity, numDistinctApprox",1024,0.25,504908.1,11832.750759837898
IDXMIN,int64_t,"min, max, mean, sparsity, numDistinctApprox",1024,1.0,516693.1,61555.07907999506
IDXMIN,int64_t,"min, max, mean, sparsity, numDistinctApprox",2048,0.25,2225937.0,56943.79081359283
IDXMIN,int64_t,"min, max, mean, sparsity, numDistinctApprox",2048,1.0,2309037.0,88236.25534136557
IDXMIN,int64_t,"min, max, mean, sparsity, numDistinctApprox",4096,0.25,9497602.0,117289.03451635106
IDXMIN,int64_t,"min, max, mean, sparsity, numDistinctApprox",4096,1.0,9397295.0,12558.355562908864
IDXMIN,int64_t,numDistinct,1024,0.25,455974.3,11614.127728762063
IDXMIN,int64_t,numDistinct,1024,1.0,459027.2,52097.34738139532
IDXMIN,int64_t,numDistinct,2048,0.25,2194775.0,84813.86210729678
IDXMIN,int64_t,numDistinct,2048,1.0,2262345.0,21423.89229601163
IDXMIN,int64_t,numDistinct,4096,0.25,9215201.0,5019.919100720418
IDXMIN,int64_t,numDistinct,4096,1.0,9196462.0,15183.148407216406
IDXMIN,int64_t,numDistinctApprox,1024,0.25,503996.6,10769.062903624543
IDXMIN,int64_t,numDistinctApprox,1024,1.0,505378.6,53888.66589387997
IDXMIN,int64_t,numDistinctApprox,2048,0.25,2297698.0,77248.88619117935
IDXMIN,int64_t,numDistinctApprox,2048,1.0,2347142.0,22761.239860780828
IDXMIN,int64_t,numDistinctApprox,4096,0.25,9434277.0,13671.06843747874
IDXMIN,int64_t,numDistinctApprox,4096,1.0,9398322.0,11257.174305008364
IDXMIN,int64_t,sparsity,1024,0.25,442749.4,16939.376311488646
IDXMIN,int64_t,sparsity,1024,1.0,437333.1,61401.51153486914
IDXMIN,int64_t,sparsity,2048,0.25,2179519.0,58459.98944197273
IDXMIN,int64_t,sparsity,2048,1.0,2214056.0,36324.320961765225
IDXMIN,int64_t,sparsity,4096,0.25,9150240.0,38089.12005634498
IDXMIN,int64_t,sparsity,4096,1.0,9167039.0,27749.876656382505
MEAN,double,min,1024,0.001,6581.4,833.6751565607951
MEAN,double,min,1024,0.01,25312.8,284.6864942353258
MEAN,double,min,1024,0.05,109655.1,656.087130053794
MEAN,double,min,1024,0.1,218634.6,1810.0469116081556
MEAN,double,min,1024,0.2,436456.2,3981.991483890655
MEAN,double,min,1024,0.25,1286964.0,1305.4262820158744
MEAN,double,min,1024,1.0,1293502.0,17254.65721350485
MEAN,double,min,2048,0.001,16742.0,783.9885203241178
MEAN,double,min,2048,0.01,91837.0,818.7783582875152
MEAN,double,min,2048,0.05,438181.1,7490.803761205387
MEAN,double,min,2048,0.1,866943.4,16817.89270192118
MEAN,double,min,2048,0.2,1709958.0,2397.6089941625123
MEAN,double,min,2048,0.25,5169714.0,2256.862128413279
MEAN,double,min,2048,1.0,5170589.0,3514.4003755974954
MEAN,double,min,4096,0.001,52284.4,1402.0281499789292
MEAN,double,min,4096,0.01,387355.3,2205.9727534330286
MEAN,double,min,4096,0.05,1867528.0,7499.312264764301
MEAN,double,min,4096,0.1,3817675.0,9258.151063312283
MEAN,double,min,4096,0.2,7771473.0,3596.0628161612553
MEAN,double,min,4096,0.25,20666420.0,4994.174383997756
MEAN,double,min,4096,1.0,20673250.0,9214.029158481033
MEAN,double,"min, max",1024,0.001,5285.1,708.5430199438216
MEAN,double,"min, max",1024,0.01,20358.7,339.13551863525026
MEAN,double,"min, max",1024,0.05,94928.3,8003.71198673882
MEAN,double,"min, max",1024,0.1,205192.8,18475.330643861285
MEAN,double,"min, max",1024,0.2,390917.5,11268.594659988024
MEAN,double,"min, max",1024,0.25,1061627.0,1644.9116828706556
MEAN,double,"min, max",1024,1.0,1066969.0,16792.68388978432
MEAN,double,"min, max",2048,0.001,14135.8,351.16339976331994
MEAN,double,"min, max",2048,0.01,76249.6,2164.812652915307
MEAN,double,"min, max",2048,0.05,389116.5,15151.18572000958
MEAN,double,"min, max",2048,0.1,732130.8,11423.475203865655
MEAN,double,"min, max",2048,0.2,1427401.0,8985.519771029121
MEAN,double,"min, max",2048,0.25,4335741.0,7224.2253717766525
MEAN,double,"min, max",2048,1.0,4336567.0,8846.052540854302
MEAN,double,"min, max",4096,0.001,44111.6,520.9280607189881
MEAN,double,"min, max",4096,0.01,342228.8,16727.497546787374
MEAN,double,"min, max",4096,0.05,1572139.0,12766.473845367182
MEAN,double,"min, max",4096,0.1,3184143.0,19163.93432698221
MEAN,double,"min, max",4096,0.2,6484686.0,23840.00102535419
MEAN,double,"min, max",4096,0.25,17455390.0,5424.317673424249
MEAN,double,"min, max",4096,1.0,17457550.0,27811.838007102764
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",1024,0.001,88824.5,1934.6716201406853
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",1024,0.01,125639.1,2226.9409237287327
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",1024,0.05,189877.9,5634.21134084739
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",1024,0.1,266033.1,11742.811583167719
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",1024,0.2,425905.0,18636.018906050344
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",1024,0.25,1392469.0,3732.1201897997944
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",1024,1.0,1405184.0,40910.13517455055
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",2048,0.001,206169.0,3314.4713337457342
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",2048,0.01,259452.4,4237.573760747745
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",2048,0.05,508155.7,11885.762407650214
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",2048,0.1,818875.7,30919.775768376236
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",2048,0.2,1479821.0,32848.616561432245
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",2048,0.25,5455386.0,5770.523180594461
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",2048,1.0,5460001.0,13288.620403270661
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",4096,0.001,329451.7,4876.921730627497
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",4096,0.01,578179.2,2786.9585094388253
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",4096,0.05,1658545.0,8751.155161843866
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",4096,0.1,3102704.0,20232.9902222418
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",4096,0.2,6134747.0,41959.49556152667
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",4096,0.25,21868920.0,29634.65688832747
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",4096,1.0,21871580.0,51733.28608245282
MEAN,double,numDistinct,1024,0.001,55747.4,1661.855469046571
MEAN,double,numDistinct,1024,0.01,77876.5,1526.1280163283222
MEAN,double,numDistinct,1024,0.05,140626.9,12609.727906571885
MEAN,double,numDistinct,1024,0.1,217296.8,20753.634518641145
MEAN,double,numDistinct,1024,0.2,368451.4,10166.266409607379
MEAN,double,numDistinct,1024,0.25,1122410.0,2816.5345136650812
MEAN,double,numDistinct,1024,1.0,1129848.0,20002.46695896394
MEAN,double,numDistinct,2048,0.001,146115.1,1663.4877316449713
MEAN,double,numDistinct,2048,0.01,181651.4,949.6178412627045
MEAN,double,numDistinct,2048,0.05,427968.2,9415.324893196432
MEAN,double,numDistinct,2048,0.1,686514.6,29171.479051368726
MEAN,double,numDistinct,2048,0.2,1240261.0,13049.071869932604
MEAN,double,numDistinct,2048,0.25,4467291.0,5618.430880197599
MEAN,double,numDistinct,2048,1.0,4469193.0,9982.952190832406
MEAN,double,numDistinct,4096,0.001,278190.1,2422.748368187576
MEAN,double,numDistinct,4096,0.01,503201.3,17573.44176148896
MEAN,double,numDistinct,4096,0.05,1402691.0,10830.178463698354
MEAN,double,numDistinct,4096,0.1,2609059.0,23614.90840314414
MEAN,double,numDistinct,4096,0.2,5162924.0,27118.814379196832
MEAN,double,numDistinct,4096,0.25,17759930.0,16849.335628181412
MEAN,double,numDistinct,4096,1.0,17768610.0,10957.437859483765
MEAN,double,numDistinctApprox,1024,0.001,89189.9,1972.8896150908517
MEAN,double,numDistinctApprox,1024,0.01,125011.4,1500.606855020107
MEAN,double,numDistinctApprox,1024,0.05,185483.7,3464.5030443693468
MEAN,double,numDistinctApprox,1024,0.1,260146.1,10266.369091466668
MEAN,double,numDistinctApprox,1024,0.2,420665.0,13228.796518706202
MEAN,double,numDistinctApprox,1024,0.25,1710931.0,2005.461709100091
MEAN,double,numDistinctApprox,1024,1.0,1722123.0,34894.19182805836
MEAN,double,numDistinctApprox,2048,0.001,203756.9,1938.4085368042397
MEAN,double,numDistinctApprox,2048,0.01,258027.4,3177.1307181165803
MEAN,double,numDistinctApprox,2048,0.05,511949.3,15010.363886698779
MEAN,double,numDistinctApprox,2048,0.1,818514.7,20118.566941730438
MEAN,double,numDistinctApprox,2048,0.2,1482032.0,37798.69333426458
MEAN,double,numDistinctApprox,2048,0.25,6673306.0,4698.591278244997
MEAN,double,numDistinctApprox,2048,1.0,6677099.0,2837.625963919686
MEAN,double,numDistinctApprox,4096,0.001,330036.0,5481.632238667608
MEAN,double,numDistinctApprox,4096,0.01,574359.3,4415.065346188108
MEAN,double,numDistinctApprox,4096,0.05,1655005.0,4627.111530005637
MEAN,double,numDistinctApprox,4096,0.1,3096133.0,19613.907792403057
MEAN,double,numDistinctApprox,4096,0.2,6118815.0,19224.456790476183
MEAN,double,numDistinctApprox,4096,0.25,26262300.0,14257.629536497281
MEAN,double,numDistinctApprox,4096,1.0,26251100.0,14597.183898881764
MEAN,double,sparsity,1024,0.001,4892.8,865.5109987105241
MEAN,double,sparsity,1024,0.01,19440.3,287.90586810429716
MEAN,double,sparsity,1024,0.05,84828.0,776.956455236284
MEAN,double,sparsity,1024,0.1,150973.8,15938.884275743885
MEAN,double,sparsity,1024,0.2,318928.0,21010.646898920346
MEAN,double,sparsity,1024,0.25,1605270.0,2354.21607617765
MEAN,double,sparsity,1024,1.0,1615819.0,31847.2780800983
MEAN,double,sparsity,2048,0.001,12540.8,336.76328646559983
MEAN,double,sparsity,2048,0.01,70517.4,227.62454466364977
MEAN,double,sparsity,2048,0.05,310465.3,26598.82262243952
MEAN,double,sparsity,2048,0.1,651443.4,1258.1702940734576
MEAN,double,sparsity,2048,0.2,1290449.0,27709.717288745876
MEAN,double,sparsity,2048,0.25,6484284.0,5351.2038105666425
MEAN,double,sparsity,2048,1.0,6498649.0,3778.6724594169204
MEAN,double,sparsity,4096,0.001,36726.4,1013.3080259997718
MEAN,double,sparsity,4096,0.01,268404.6,9991.574986512935
MEAN,double,sparsity,4096,0.05,1323692.0,70211.90668255629
MEAN,double,sparsity,4096,0.1,2657319.0,10326.326064966195
MEAN,double,sparsity,4096,0.2,5340617.0,19634.993166962573
MEAN,double,sparsity,4096,0.25,25959940.0,7211.287448622956
MEAN,double,sparsity,4096,1.0,25970420.0,7173.996251895975
MEAN,int64_t,min,1024,0.001,6649.3,459.57227699000464
MEAN,int64_t,min,1024,0.01,22148.6,1267.451090443599
MEAN,int64_t,min,1024,0.05,88148.5,1866.8629807484247
MEAN,int64_t,min,1024,0.1,169170.9,991.9924338869162
MEAN,int64_t,min,1024,0.2,330664.1,1577.1011698683144
MEAN,int64_t,min,1024,0.25,1525713.0,73174.37226698066
MEAN,int64_t,min,1024,1.0,1586823.0,52647.32536205215
MEAN,int64_t,min,2048,0.001,16191.6,67.19325362961185
MEAN,int64_t,min,2048,0.01,74856.6,474.2158908251715
MEAN,int64_t,min,2048,0.05,335024.4,943.2910709025317
MEAN,int64_t,min,2048,0.1,660138.0,2297.95566150049
MEAN,int64_t,min,2048,0.2,1197925.0,4370.772242979499
MEAN,int64_t,min,2048,0.25,5456985.0,6452.424608884064
MEAN,int64_t,min,2048,1.0,5454882.0,9251.918479729291
MEAN,int64_t,min,4096,0.001,45125.5,131.4984157065532
MEAN,int64_t,min,4096,0.01,281226.6,955.2954400486637
MEAN,int64_t,min,4096,0.05,1218494.0,1551.5024975809522
MEAN,int64_t,min,4096,0.1,2363236.0,16659.68000226231
MEAN,int64_t,min,4096,0.2,4626257.0,2837.710540402514
MEAN,int64_t,min,4096,0.25,21425490.0,5562.063965432006
MEAN,int64_t,min,4096,1.0,21437690.0,27035.4684730182
MEAN,int64_t,"min, max",1024,0.001,5254.8,345.6005401230347
MEAN,int64_t,"min, max",1024,0.01,15194.0,315.61263177086795
MEAN,int64_t,"min, max",1024,0.05,66771.3,7086.72884968015
MEAN,int64_t,"min, max",1024,0.1,132311.3,10301.389108594367
MEAN,int64_t,"min, max",1024,0.2,258181.0,13342.467662817604
MEAN,int64_t,"min, max",1024,0.25,1066927.0,2259.0856065624967
MEAN,int64_t,"min, max",1024,1.0,1075574.0,18851.323678841403
MEAN,int64_t,"min, max",2048,0.001,12482.1,91.96672103417474
MEAN,int64_t,"min, max",2048,0.01,52087.7,381.14507299277363
MEAN,int64_t,"min, max",2048,0.05,249594.9,15780.327298746233
MEAN,int64_t,"min, max",2048,0.1,482469.9,7421.033627467266
MEAN,int64_t,"min, max",2048,0.2,920470.7,17565.161959907397
MEAN,int64_t,"min, max",2048,0.25,4353534.0,12215.520364592709
MEAN,int64_t,"min, max",2048,1.0,4354000.0,22733.85238899131
MEAN,int64_t,"min, max",4096,0.001,33966.6,275.9682751493162
MEAN,int64_t,"min, max",4096,0.01,227647.8,13352.741323205677
MEAN,int64_t,"min, max",4096,0.05,986381.8,10666.758768352356
MEAN,int64_t,"min, max",4096,0.1,2029007.0,13128.474608862798
MEAN,int64_t,"min, max",4096,0.2,4172544.0,9173.437741653875
MEAN,int64_t,"min, max",4096,0.25,17470340.0,21727.054307680683
MEAN,int64_t,"min, max",4096,1.0,17471020.0,13158.419357962415
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",1024,0.001,20542.7,1394.9426949599836
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",1024,0.01,38606.5,1094.2892416744503
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",1024,0.05,103711.1,5185.587622332582
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",1024,0.1,186415.6,5196.700495934361
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",1024,0.2,355772.1,2977.5050872239385
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",1024,0.25,1292097.0,45986.04209733403
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",1024,1.0,1214742.0,14376.903390894391
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",2048,0.001,48117.7,2363.8426367064094
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",2048,0.01,107141.5,2701.173705796962
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",2048,0.05,367840.7,6873.243744162339
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",2048,0.1,706139.1,7701.069326182372
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",2048,0.2,1248638.0,6857.522714346491
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",2048,0.25,5077245.0,312790.74230581423
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",2048,1.0,5234626.0,6241.357046170089
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",4096,0.001,113160.0,5380.844006493988
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",4096,0.01,362233.0,4248.852812492123
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",4096,0.05,1347370.0,6811.193401714232
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",4096,0.1,2585053.0,10734.961625972895
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",4096,0.2,5077312.0,12726.397587516894
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",4096,0.25,19095130.0,1399543.3017396943
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",4096,1.0,20794970.0,16324.967245160338
MEAN,int64_t,numDistinct,1024,0.001,8932.1,552.3540430637661
MEAN,int64_t,numDistinct,1024,0.01,21357.1,369.4387484941034
MEAN,int64_t,numDistinct,1024,0.05,85241.5,9053.735303422805
MEAN,int64_t,numDistinct,1024,0.1,167089.4,12258.04008441444
MEAN,int64_t,numDistinct,1024,0.2,309689.6,16423.686256948124
MEAN,int64_t,numDistinct,1024,0.25,1066659.0,2755.501365954613
