op,element_type,analysis,n,sparsity,mean_ns,std_ns
IDXMAX,double,min,1024,0.25,1261209.0,5487.24267936294
IDXMAX,double,min,1024,1.0,1274279.0,35463.73090919791
IDXMAX,double,min,2048,0.25,5218089.0,7277.529266325349
IDXMAX,double,min,2048,1.0,5224005.0,11593.556879194157
IDXMAX,double,min,4096,0.25,21425910.0,14398.259925730415
IDXMAX,double,min,4096,1.0,21455410.0,58505.92467624291
IDXMAX,double,"min, max",1024,0.25,1259955.0,6151.639799453657
IDXMAX,double,"min, max",1024,1.0,1283321.0,34991.23809374762
IDXMAX,double,"min, max",2048,0.25,5212555.0,9769.901910118306
IDXMAX,double,"min, max",2048,1.0,5221974.0,10870.654891853512
IDXMAX,double,"min, max",4096,0.25,21429730.0,14040.105254433234
IDXMAX,double,"min, max",4096,1.0,21473750.0,74455.6877910913
IDXMAX,double,"min, max, mean, sparsity, numDistinctApprox",1024,0.25,1384118.0,2994.4645227114815
IDXMAX,double,"min, max, mean, sparsity, numDistinctApprox",1024,1.0,1390603.0,18878.61697500345
IDXMAX,double,"min, max, mean, sparsity, numDistinctApprox",2048,0.25,5393614.0,1800.4949936675648
IDXMAX,double,"min, max, mean, sparsity, numDistinctApprox",2048,1.0,5391701.0,3378.8112636777223
IDXMAX,double,"min, max, mean, sparsity, numDistinctApprox",4096,0.25,21089170.0,6648.8177729414265
IDXMAX,double,"min, max, mean, sparsity, numDistinctApprox",4096,1.0,21101260.0,22961.2814199127
IDXMAX,double,numDistinct,1024,0.25,1350849.0,2246.8024192418666
IDXMAX,double,numDistinct,1024,1.0,1358085.0,18195.952694059302
IDXMAX,double,numDistinct,2048,0.25,5305944.0,3740.452141415751
IDXMAX,double,numDistinct,2048,1.0,5307033.0,4672.486965679465
IDXMAX,double,numDistinct,4096,0.25,20989410.0,8927.541654901277
IDXMAX,double,numDistinct,4096,1.0,20997160.0,19213.606289987998
IDXMAX,double,numDistinctApprox,1024,0.25,1403126.0,62479.71123137139
IDXMAX,double,numDistinctApprox,1024,1.0,1390513.0,17321.618509186097
IDXMAX,double,numDistinctApprox,2048,0.25,5390088.0,2768.5969170120848
IDXMAX,double,numDistinctApprox,2048,1.0,5388918.0,4713.000459721264
IDXMAX,double,numDistinctApprox,4096,0.25,21072760.0,6917.481879669304
IDXMAX,double,numDistinctApprox,4096,1.0,21074790.0,6557.006430783325
IDXMAX,double,sparsity,1024,0.25,1258982.0,5317.638991549207
IDXMAX,double,sparsity,1024,1.0,1272015.0,33977.89878075976
IDXMAX,double,sparsity,2048,0.25,5215426.0,8645.087493934125
IDXMAX,double,sparsity,2048,1.0,5216931.0,11812.387518570853
IDXMAX,double,sparsity,4096,0.25,21426650.0,25194.675363390863
IDXMAX,double,sparsity,4096,1.0,21433920.0,35681.1746194292
IDXMAX,int64_t,min,1024,0.25,425187.2,30548.97424646384
IDXMAX,int64_t,min,1024,1.0,450358.1,57958.617203138994
IDXMAX,int64_t,min,2048,0.25,2206518.0,50123.068497006
IDXMAX,int64_t,min,2048,1.0,2311587.0,99221.56341015571
IDXMAX,int64_t,min,4096,0.25,8911617.0,12033.89661654857
IDXMAX,int64_t,min,4096,1.0,8992262.0,16890.483053417225
IDXMAX,int64_t,"min, max",1024,0.25,442185.0,15570.50602189209
IDXMAX,int64_t,"min, max",1024,1.0,438704.3,58535.39451391782
IDXMAX,int64_t,"min, max",2048,0.25,2280987.0,70847.97480834892
IDXMAX,int64_t,"min, max",2048,1.0,2209484.0,94238.67019435283
IDXMAX,int64_t,"min, max",4096,0.25,9001135.0,11451.533861355882
IDXMAX,int64_t,"min, max",4096,1.0,8929844.0,10283.996412981756
IDXMAX,int64_t,"min, max, mean, sparsity, numDistinctApprox",1024,0.25,523004.1,13206.904115735148
