result_repr,element_type,analysis,n,sparsity,mean_ns,std_ns
CSRMatrix,double,min,1024,0.001,11451.7,507.3118808429825
CSRMatrix,double,min,1024,0.01,15074.4,1542.8513430226083
CSRMatrix,double,min,1024,0.05,23107.0,3562.0490045914744
CSRMatrix,double,min,1024,0.1,29849.7,5448.705698502066
CSRMatrix,double,min,1024,0.2,39635.3,8466.977344037508
CSRMatrix,double,min,1024,0.25,44627.9,10109.297826478574
CSRMatrix,double,min,1024,1.0,125740.6,38533.18417272168
CSRMatrix,double,min,2048,0.001,23135.5,1149.2595925686721
CSRMatrix,double,min,2048,0.01,32222.8,3994.8287628438393
CSRMatrix,double,min,2048,0.05,45282.3,7296.333722417643
CSRMatrix,double,min,2048,0.1,55958.9,10705.328459852753
CSRMatrix,double,min,2048,0.2,70020.1,15291.056052840531
CSRMatrix,double,min,2048,0.25,76797.3,17576.059500544106
CSRMatrix,double,min,2048,1.0,377755.7,123252.9021673639
CSRMatrix,double,min,4096,0.001,49815.6,4330.693816622614
CSRMatrix,double,min,4096,0.01,68344.3,9449.200742802419
CSRMatrix,double,min,4096,0.05,89048.3,15451.890413293915
CSRMatrix,double,min,4096,0.1,102798.7,19839.06609613131
CSRMatrix,double,min,4096,0.2,127206.3,28502.933903761947
CSRMatrix,double,min,4096,0.25,141658.1,33789.07854601674
CSRMatrix,double,min,4096,1.0,1125878.9,379424.23292974086
CSRMatrix,double,"min, max",1024,0.001,12223.1,751.704204532016
CSRMatrix,double,"min, max",1024,0.01,16050.5,1648.7771394447325
CSRMatrix,double,"min, max",1024,0.05,23016.9,3506.251669042978
CSRMatrix,double,"min, max",1024,0.1,30035.1,5376.666655300683
CSRMatrix,double,"min, max",1024,0.2,40184.7,8368.186330116912
CSRMatrix,double,"min, max",1024,0.25,44920.1,10395.572555981063
CSRMatrix,double,"min, max",1024,1.0,126996.2,39079.126041632226
CSRMatrix,double,"min, max",2048,0.001,24726.6,1625.9333182992334
CSRMatrix,double,"min, max",2048,0.01,32550.2,3740.7776018719246
CSRMatrix,double,"min, max",2048,0.05,46206.9,7518.374476352363
CSRMatrix,double,"min, max",2048,0.1,56207.3,10612.84951839043
CSRMatrix,double,"min, max",2048,0.2,70613.2,15617.184536415149
CSRMatrix,double,"min, max",2048,0.25,76606.9,17313.394348820733
CSRMatrix,double,"min, max",2048,1.0,380432.9,124175.3543157149
CSRMatrix,double,"min, max",4096,0.001,53179.1,4973.685699090096
CSRMatrix,double,"min, max",4096,0.01,68445.2,9263.193183538573
CSRMatrix,double,"min, max",4096,0.05,90923.8,16027.203144099165
