op,element_type,analysis,n,sparsity,mean_ns,std_ns
EXP,double,min,1024,0.001,4708667.0,442421.90515012544
EXP,double,min,1024,0.01,5099694.0,296520.3611221326
EXP,double,min,1024,0.05,5416823.0,91589.6719128916
EXP,double,min,1024,0.1,4941684.0,679157.4494458393
EXP,double,min,1024,0.2,3520496.0,1195142.398742138
EXP,double,min,1024,0.25,6168414.0,629753.8971552474
EXP,double,min,1024,1.0,3464361.0,34392.32745508477
EXP,double,min,2048,0.001,21141400.0,442317.3245030717
EXP,double,min,2048,0.01,22439590.0,212725.97109374788
EXP,double,min,2048,0.05,23557410.0,109436.44984901295
EXP,double,min,2048,0.1,22647780.0,434685.8784097877
EXP,double,min,2048,0.2,27698010.0,38856.672528666
EXP,double,min,2048,0.25,31316030.0,43836.31295322791
EXP,double,min,2048,1.0,21173780.0,17793.369551605552
EXP,double,min,4096,0.001,87432420.0,1475906.3902866214
EXP,double,min,4096,0.01,90631880.0,1127508.5629632974
EXP,double,min,4096,0.05,94815450.0,500725.14139218285
EXP,double,min,4096,0.1,90693220.0,1145445.115616146
EXP,double,min,4096,0.2,111512900.0,832187.0048919964
EXP,double,min,4096,0.25,125391600.0,405813.9146620439
EXP,double,min,4096,1.0,84697170.0,377038.32416465087
EXP,double,"min, max",1024,0.001,1105535.0,53584.93387967262
EXP,double,"min, max",1024,0.01,1097405.0,48989.95594337001
EXP,double,"min, max",1024,0.05,1450589.0,94710.33540338787
EXP,double,"min, max",1024,0.1,2086953.0,74437.9535885051
EXP,double,"min, max",1024,0.2,3355778.0,16326.772695994347
EXP,double,"min, max",1024,0.25,6176296.0,623006.6494241187
EXP,double,"min, max",1024,1.0,3736035.0,41921.348910125096
EXP,double,"min, max",2048,0.001,19311670.0,93975.54114413656
EXP,double,"min, max",2048,0.01,19390770.0,82799.19551407354
EXP,double,"min, max",2048,0.05,20792180.0,46609.88927017316
EXP,double,"min, max",2048,0.1,23296390.0,53241.5136691078
EXP,double,"min, max",2048,0.2,28437010.0,26061.399723644452
EXP,double,"min, max",2048,0.25,31353670.0,29651.72095436524
EXP,double,"min, max",2048,1.0,22170470.0,8962.892638229981
EXP,double,"min, max",4096,0.001,77672380.0,229567.04080120518
EXP,double,"min, max",4096,0.01,78105800.0,249437.70542740455
EXP,double,"min, max",4096,0.05,83583610.0,385522.8727902458
EXP,double,"min, max",4096,0.1,93476120.0,528633.8783442976
EXP,double,"min, max",4096,0.2,114689900.0,778815.974555112
EXP,double,"min, max",4096,0.25,125763600.0,564249.3932453789
EXP,double,"min, max",4096,1.0,88718900.0,434125.23794663517
EXP,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.001,16216990.0,1555095.8516010083
EXP,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.01,8766112.0,2955566.1914458587
EXP,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.05,7884758.0,2046917.8905683756
EXP,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.1,8149706.0,225038.75647442497
EXP,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.2,10063357.0,365355.6252642378
EXP,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.25,13494000.0,876646.9566859095
EXP,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,1.0,11310010.0,77676.92993704391
EXP,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.001,58554420.0,11407523.388808904
EXP,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.01,39674210.0,1495961.1963550397
EXP,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.05,44527360.0,8214457.331396478
EXP,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.1,45807230.0,574602.1213752062
EXP,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.2,53239520.0,405614.7838638149
EXP,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.25,59511270.0,109303.39071695007
EXP,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,1.0,51573820.0,133501.8252060001
EXP,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.001,166491000.0,17453513.18343801
EXP,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.01,154347100.0,10895581.259799263
EXP,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.05,163901400.0,3425056.015762532
EXP,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.1,179820900.0,785693.2466158643
EXP,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.2,209336600.0,679466.3265305272
EXP,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.25,235501700.0,655068.6223595206
EXP,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,1.0,203099500.0,472278.4607034763
EXP,double,numDistinct,1024,0.001,5154685.0,1483927.1010041041
EXP,double,numDistinct,1024,0.01,8014290.0,2217298.135303916
EXP,double,numDistinct,1024,0.05,11918420.0,840869.527202513
EXP,double,numDistinct,1024,0.1,17749960.0,1221140.2496573983
EXP,double,numDistinct,1024,0.2,31371760.0,1012675.1867098223
EXP,double,numDistinct,1024,0.25,39437980.0,2074541.532108828
EXP,double,numDistinct,1024,1.0,217266500.0,4288612.524918628
EXP,double,numDistinct,2048,0.001,40260730.0,6577057.816725922
EXP,double,numDistinct,2048,0.01,47208190.0,3545554.561998886
EXP,double,numDistinct,2048,0.05,67859790.0,5311231.509515158
EXP,double,numDistinct,2048,0.1,99877010.0,7265257.8090602625
EXP,double,numDistinct,2048,0.2,230989900.0,6165744.335529255
EXP,double,numDistinct,2048,0.25,286410600.0,6384289.348775543
EXP,double,numDistinct,2048,1.0,1415357000.0,18429858.65382588
EXP,double,numDistinct,4096,0.001,176664700.0,39221997.541204125
EXP,double,numDistinct,4096,0.01,184207600.0,25636201.730278917
EXP,double,numDistinct,4096,0.05,374907100.0,30930153.013416108
EXP,double,numDistinct,4096,0.1,819620900.0,22139018.61947212
EXP,double,numDistinct,4096,0.2,1574539000.0,43191892.616297536
EXP,double,numDistinct,4096,0.25,1771442000.0,24109430.98088841
EXP,double,numDistinct,4096,1.0,7398389000.0,60711739.38283172
EXP,double,numDistinctApprox,1024,0.001,14158000.0,1271277.5586437096
EXP,double,numDistinctApprox,1024,0.01,7230740.0,1448430.0690517763
EXP,double,numDistinctApprox,1024,0.05,8254588.0,4386382.254186244
EXP,double,numDistinctApprox,1024,0.1,7557460.0,224705.73151964278
EXP,double,numDistinctApprox,1024,0.2,9378735.0,236002.32099847385
EXP,double,numDistinctApprox,1024,0.25,14491770.0,4212772.507519378
EXP,double,numDistinctApprox,1024,1.0,10482780.0,112623.37235227875
EXP,double,numDistinctApprox,2048,0.001,49697830.0,11552850.366328552
EXP,double,numDistinctApprox,2048,0.01,39069480.0,4852270.427748231
EXP,double,numDistinctApprox,2048,0.05,39985290.0,812987.2384538942
EXP,double,numDistinctApprox,2048,0.1,43857120.0,866875.3233436879
EXP,double,numDistinctApprox,2048,0.2,50744430.0,214978.8519314813
EXP,double,numDistinctApprox,2048,0.25,55919740.0,214154.57657184536
EXP,double,numDistinctApprox,2048,1.0,49027870.0,62764.4989889449
EXP,double,numDistinctApprox,4096,0.001,197540600.0,75870644.42735557
EXP,double,numDistinctApprox,4096,0.01,142491600.0,8435174.492036968
EXP,double,numDistinctApprox,4096,0.05,154701300.0,494453.2446158176
EXP,double,numDistinctApprox,4096,0.1,172652500.0,5128202.224518408
EXP,double,numDistinctApprox,4096,0.2,200701100.0,778101.8856450915
EXP,double,numDistinctApprox,4096,0.25,218934700.0,1054550.5677775717
EXP,double,numDistinctApprox,4096,1.0,193646400.0,592814.6047083824
EXP,double,sparsity,1024,0.001,901251.6,80100.34858323372
EXP,double,sparsity,1024,0.01,1060876.0,63182.11406543609
EXP,double,sparsity,1024,0.05,1298230.0,101543.61525965083
EXP,double,sparsity,1024,0.1,1952580.0,60235.78135589804
EXP,double,sparsity,1024,0.2,3206584.0,15337.544494185171
EXP,double,sparsity,1024,0.25,6259172.0,622134.4931729437
EXP,double,sparsity,1024,1.0,3718001.0,32474.00582688324
EXP,double,sparsity,2048,0.001,16943160.0,88921.96579023657
EXP,double,sparsity,2048,0.01,17687880.0,77317.26557215772
EXP,double,sparsity,2048,0.05,20019070.0,57586.033221799684
EXP,double,sparsity,2048,0.1,22845770.0,45413.0438922075
EXP,double,sparsity,2048,0.2,28046660.0,34843.84849263639
EXP,double,sparsity,2048,0.25,31676230.0,23739.748664774677
EXP,double,sparsity,2048,1.0,22179170.0,15056.26853580322
EXP,double,sparsity,4096,0.001,69249870.0,296326.6292829976
EXP,double,sparsity,4096,0.01,71282000.0,72066.29663796483
EXP,double,sparsity,4096,0.05,80372890.0,106552.91278150099
EXP,double,sparsity,4096,0.1,91490760.0,203511.51864752467
EXP,double,sparsity,4096,0.2,112879700.0,635156.3324620682
EXP,double,sparsity,4096,0.25,126915900.0,488420.2311762092
EXP,double,sparsity,4096,1.0,88762420.0,476107.99848587153
EXP,double,symmetry,1024,0.001,1442174.0,100611.92133915125
EXP,double,symmetry,1024,0.01,1658507.0,65184.1754910227
EXP,double,symmetry,1024,0.05,1911603.0,83207.92657887562
EXP,double,symmetry,1024,0.1,2570768.0,83258.12336743284
EXP,double,symmetry,1024,0.2,3913698.0,33562.538574362334
EXP,double,symmetry,1024,0.25,6835472.0,638681.1182742136
EXP,double,symmetry,1024,1.0,4895682.0,44803.490885817744
EXP,double,symmetry,2048,0.001,18979050.0,121644.41120650667
EXP,double,symmetry,2048,0.01,19805590.0,87350.57654201388
EXP,double,symmetry,2048,0.05,21852280.0,55919.54140648049
EXP,double,symmetry,2048,0.1,24917050.0,54729.21726301414
EXP,double,symmetry,2048,0.2,30684010.0,49848.15721546573
EXP,double,symmetry,2048,0.25,33875660.0,38443.21064172984
EXP,double,symmetry,2048,1.0,25491800.0,10531.328923212135
EXP,double,symmetry,4096,0.001,77180530.0,416443.09481875435
EXP,double,symmetry,4096,0.01,79476090.0,288007.8604251397
EXP,double,symmetry,4096,0.05,87458840.0,429146.5722156532
EXP,double,symmetry,4096,0.1,99828340.0,667036.136285817
EXP,double,symmetry,4096,0.2,123665700.0,1020265.9838384184
EXP,double,symmetry,4096,0.25,135308600.0,417635.9924889407
EXP,double,symmetry,4096,1.0,101708200.0,339397.11253927904
EXP,int64_t,min,1024,0.001,4591986.0,218159.30734722785
EXP,int64_t,min,1024,0.01,4721774.0,94736.48789024103
EXP,int64_t,min,1024,0.05,5492504.0,854980.9112255082
EXP,int64_t,min,1024,0.1,3010389.0,1146765.9930474046
EXP,int64_t,min,1024,0.2,5021180.0,1084608.2652480777
EXP,int64_t,min,1024,0.25,6500646.0,22780.727819804215
EXP,int64_t,min,1024,1.0,3992972.0,33903.8587774312
EXP,int64_t,min,2048,0.001,20159080.0,122068.7128901863
EXP,int64_t,min,2048,0.01,20970400.0,114491.25148528462
EXP,int64_t,min,2048,0.05,24950590.0,90836.45193423163
EXP,int64_t,min,2048,0.1,25155410.0,41303.01172769113
EXP,int64_t,min,2048,0.2,32549040.0,34339.13219637312
EXP,int64_t,min,2048,0.25,33451590.0,23052.81134940185
EXP,int64_t,min,2048,1.0,23286930.0,16250.678618308806
EXP,int64_t,min,4096,0.001,81565120.0,290160.9315918026
EXP,int64_t,min,4096,0.01,84667570.0,163402.61149823782
EXP,int64_t,min,4096,0.05,96416310.0,6494012.1432405375
EXP,int64_t,min,4096,0.1,100962000.0,467829.0285991239
EXP,int64_t,min,4096,0.2,130763100.0,548591.8235709391
EXP,int64_t,min,4096,0.25,134064200.0,558695.0668994484
EXP,int64_t,min,4096,1.0,93089720.0,390561.51258298726
EXP,int64_t,"min, max",1024,0.001,1089178.0,56492.720238983
EXP,int64_t,"min, max",1024,0.01,1069524.0,66858.19241748411
EXP,int64_t,"min, max",1024,0.05,1756854.0,33379.229136961454
EXP,int64_t,"min, max",1024,0.1,2784671.0,18683.540260525235
EXP,int64_t,"min, max",1024,0.2,5163224.0,1086486.2714804802
EXP,int64_t,"min, max",1024,0.25,6602285.0,10635.601900117203
EXP,int64_t,"min, max",1024,1.0,4153459.0,34162.00112860938
EXP,int64_t,"min, max",2048,0.001,17838250.0,238589.23906999655
EXP,int64_t,"min, max",2048,0.01,18677560.0,72912.9648584149
EXP,int64_t,"min, max",2048,0.05,21832120.0,60586.50014648485
EXP,int64_t,"min, max",2048,0.1,25657500.0,45463.391866423975
EXP,int64_t,"min, max",2048,0.2,33228930.0,31003.11991468653
EXP,int64_t,"min, max",2048,0.25,33844840.0,47019.43333464525
EXP,int64_t,"min, max",2048,1.0,23830500.0,14856.648343418203
EXP,int64_t,"min, max",4096,0.001,72045230.0,1139957.8277287278
EXP,int64_t,"min, max",4096,0.01,75167430.0,249838.50361561318
EXP,int64_t,"min, max",4096,0.05,87654750.0,334152.4676950133
EXP,int64_t,"min, max",4096,0.1,102663000.0,232135.49683081423
EXP,int64_t,"min, max",4096,0.2,133677100.0,2491446.587828042
EXP,int64_t,"min, max",4096,0.25,135554400.0,592879.826684035
EXP,int64_t,"min, max",4096,1.0,95281940.0,292317.53739156114
EXP,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.001,10714637.0,1088024.500092306
EXP,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.01,12142000.0,785936.4577086086
EXP,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.05,12635060.0,1473434.5441857944
EXP,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.1,14372910.0,1489043.8307480707
EXP,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.2,17635480.0,1389632.9561754386
EXP,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.25,21632350.0,739209.7646210525
EXP,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,1.0,29877680.0,2977656.3979075896
EXP,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.001,58065520.0,6374675.692805434
EXP,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.01,59080800.0,7420761.314642109
EXP,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.05,64529050.0,4760704.018956766
EXP,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.1,70997280.0,5225712.593364128
EXP,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.2,82418170.0,4386205.15911977
EXP,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.25,91187770.0,2712532.7774978136
EXP,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,1.0,126172910.0,14253784.690113392
EXP,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.001,242587000.0,17277968.900693547
EXP,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.01,241180900.0,17635101.533589195
EXP,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.05,257700900.0,20096521.171862338
EXP,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.1,290405600.0,17292429.308161933
EXP,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.2,335182800.0,15724461.90423627
EXP,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.25,373619200.0,15861148.67495065
EXP,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,1.0,515304700.0,25594394.81627005
EXP,int64_t,numDistinct,1024,0.001,2891217.0,136489.42165359677
EXP,int64_t,numDistinct,1024,0.01,2855538.0,51817.76374950967
EXP,int64_t,numDistinct,1024,0.05,3510143.0,56342.49433400848
EXP,int64_t,numDistinct,1024,0.1,4823857.0,638952.0378287837
EXP,int64_t,numDistinct,1024,0.2,7231802.0,587661.3150219551
EXP,int64_t,numDistinct,1024,0.25,9529314.0,1051534.8846561809
EXP,int64_t,numDistinct,1024,1.0,13930139.0,3455549.619619785
EXP,int64_t,numDistinct,2048,0.001,25910900.0,136151.35368813304
EXP,int64_t,numDistinct,2048,0.01,26330490.0,89860.3911013569
EXP,int64_t,numDistinct,2048,0.05,21422130.0,178400.76637852337
EXP,int64_t,numDistinct,2048,0.1,32985440.0,334102.73935489403
EXP,int64_t,numDistinct,2048,0.2,42380050.0,909353.8319414868
EXP,int64_t,numDistinct,2048,0.25,44989080.0,3120866.424853485
EXP,int64_t,numDistinct,2048,1.0,55554000.0,13769419.583184244
EXP,int64_t,numDistinct,4096,0.001,104006400.0,414488.225271708
EXP,int64_t,numDistinct,4096,0.01,105797500.0,273160.6161624002
EXP,int64_t,numDistinct,4096,0.05,116421600.0,873277.6318114526
EXP,int64_t,numDistinct,4096,0.1,133365800.0,1526716.3601810404
